source,application_bits,ebn0_db,repeat,seed,delivered_application_bits,transmitted_bits,packet_count,delivered_packets,attempts,retransmissions,crc_failures,duration_s,latency_budget_exhausted,payload_delivery_ratio,packet_delivery_ratio,frame_success,goodput_bps,gross_bitrate_bps
hard_semantic,262,0.0,0,20260711,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,1,20260712,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,2,20260713,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,3,20260714,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,4,20260715,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,5,20260716,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,6,20260717,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,7,20260718,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,8,20260719,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,9,20260720,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,10,20260721,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,11,20260722,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,12,20260723,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,13,20260724,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,14,20260725,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,15,20260726,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,16,20260727,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,17,20260728,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,18,20260729,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,19,20260730,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
