source,application_bits,ebn0_db,repeat_count,payload_delivery_ratio_mean,payload_delivery_ratio_std,payload_delivery_ratio_ci95_low,payload_delivery_ratio_ci95_high,packet_delivery_ratio_mean,packet_delivery_ratio_std,packet_delivery_ratio_ci95_low,packet_delivery_ratio_ci95_high,frame_success_mean,frame_success_std,frame_success_ci95_low,frame_success_ci95_high,transmitted_bits_mean,transmitted_bits_std,transmitted_bits_ci95_low,transmitted_bits_ci95_high,goodput_bps_mean,goodput_bps_std,goodput_bps_ci95_low,goodput_bps_ci95_high,duration_s_mean,duration_s_std,duration_s_ci95_low,duration_s_ci95_high,attempts_mean,attempts_std,attempts_ci95_low,attempts_ci95_high,retransmissions_mean,retransmissions_std,retransmissions_ci95_low,retransmissions_ci95_high,crc_failures_mean,crc_failures_std,crc_failures_ci95_low,crc_failures_ci95_high,latency_budget_exhausted_mean,latency_budget_exhausted_std,latency_budget_exhausted_ci95_low,latency_budget_exhausted_ci95_high,mean_tx_over_application
compressed_spectrogram_png,116541,6.0,30,0.9980055659953723,0.004232464065050608,0.9964909981810969,0.9995201338096477,0.9979532163742689,0.004421113447313443,0.9963711412455387,0.9995352915029991,0.8,0.4068381021724863,0.6544148548691914,0.9455851451308087,233651.6,3573.621881470413,232372.79583323607,234930.40416676394,483913.41758474545,8498.237181494746,480872.362465234,486954.4727042569,0.24041079999999954,0.003659786487082868,0.23910116222510933,0.24172043777488975,117.7,1.7840287611722119,117.06159350678841,118.3384064932116,3.7333333333333334,1.874204812223285,3.0626577546809077,4.404008911985759,3.933333333333333,2.083321839048751,3.1878261876837697,4.678840478982896,0.03333333333333333,0.18257418583505533,-0.031999999999999994,0.09866666666666665,2.004887550304185
hard_semantic,262,6.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,658.0,0.0,658.0,658.0,189992.74836838283,8.880410361725507e-11,189992.7483683828,189992.74836838286,0.0013789999999999994,4.410947542252892e-19,0.0013789999999999992,0.0013789999999999996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5114503816793894
iq_int12_complex,24000000,6.0,30,0.005048888888888888,7.789831928962366e-05,0.005021013333333333,0.005076764444444444,0.005048781181557013,7.78966574942638e-05,0.0050209062206672895,0.005076656142446736,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,485921.7435009047,7497.191552047455,483238.90795932227,488604.57904248714,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,3.6,1.8680618759596248,2.9315226428580443,4.268477357141956,3.6666666666666665,1.8257418583505536,3.013333333333333,4.319999999999999,1.0,0.0,1.0,1.0,0.010105666666666667
quantized_soft_semantic,327,6.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,770.0,0.0,770.0,770.0,227874.5644599303,5.920273574483672e-11,227874.56445993026,227874.56445993032,0.0014349999999999996,2.205473771126446e-19,0.0014349999999999996,0.0014349999999999996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3547400611620795
spectrogram_uint8,131072,6.0,30,0.91953125,0.015236274472653561,0.9140790192022719,0.9249834807977282,0.91953125,0.015236274472653561,0.9140790192022719,0.9249834807977282,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,483321.03557794204,8008.4412100977315,480455.2516958087,486186.81946007535,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,4.133333333333334,1.9070347687431926,3.450909705618968,4.8157569610477,4.3,1.9502431324996554,3.6021144578907958,4.997885542109204,1.0,0.0,1.0,1.0,1.85040283203125
compressed_spectrogram_png,116541,9.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,226296.0,0.0,226296.0,226296.0,500502.4737167603,5.920273574483672e-11,500502.4737167603,500502.4737167603,0.2328479999999996,2.823006427041851e-17,0.2328479999999996,0.2328479999999996,114.0,0.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9417715653718435
hard_semantic,262,9.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,658.0,0.0,658.0,658.0,189992.74836838283,8.880410361725507e-11,189992.7483683828,189992.74836838286,0.0013789999999999994,4.410947542252892e-19,0.0013789999999999992,0.0013789999999999996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5114503816793894
iq_int12_complex,24000000,9.0,30,0.005205333333333335,1.7643790169011568e-18,0.005205333333333334,0.005205333333333336,0.0052052222885911785,1.7643790169011568e-18,0.005205222288591178,0.005205222288591179,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,500978.47358121414,1.7760820723451015e-10,500978.4735812141,500978.4735812142,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.010105666666666667
quantized_soft_semantic,327,9.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,770.0,0.0,770.0,770.0,227874.5644599303,5.920273574483672e-11,227874.56445993026,227874.56445993032,0.0014349999999999996,2.205473771126446e-19,0.0014349999999999996,0.0014349999999999996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3547400611620795
spectrogram_uint8,131072,9.0,30,0.953125,0.0,0.953125,0.953125,0.953125,0.0,0.953125,0.953125,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,500978.47358121414,1.7760820723451015e-10,500978.4735812141,500978.4735812142,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.85040283203125
compressed_spectrogram_png,116541,12.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,226296.0,0.0,226296.0,226296.0,500502.4737167603,5.920273574483672e-11,500502.4737167603,500502.4737167603,0.2328479999999996,2.823006427041851e-17,0.2328479999999996,0.2328479999999996,114.0,0.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9417715653718435
hard_semantic,262,12.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,658.0,0.0,658.0,658.0,189992.74836838283,8.880410361725507e-11,189992.7483683828,189992.74836838286,0.0013789999999999994,4.410947542252892e-19,0.0013789999999999992,0.0013789999999999996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5114503816793894
iq_int12_complex,24000000,12.0,30,0.005205333333333335,1.7643790169011568e-18,0.005205333333333334,0.005205333333333336,0.0052052222885911785,1.7643790169011568e-18,0.005205222288591178,0.005205222288591179,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,500978.47358121414,1.7760820723451015e-10,500978.4735812141,500978.4735812142,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.010105666666666667
quantized_soft_semantic,327,12.0,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,770.0,0.0,770.0,770.0,227874.5644599303,5.920273574483672e-11,227874.56445993026,227874.56445993032,0.0014349999999999996,2.205473771126446e-19,0.0014349999999999996,0.0014349999999999996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3547400611620795
spectrogram_uint8,131072,12.0,30,0.953125,0.0,0.953125,0.953125,0.953125,0.0,0.953125,0.953125,0.0,0.0,0.0,0.0,242536.0,0.0,242536.0,242536.0,500978.47358121414,1.7760820723451015e-10,500978.4735812141,500978.4735812142,0.24936799999999953,2.823006427041851e-17,0.24936799999999953,0.24936799999999953,122.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.85040283203125
