method,application_bits,mean_regret_db,cvar_0_9_regret_db,mean_actual_bits,frame_success_rate
occupancy_stateless,184,0.7081667493638538,2.4025592417944046,755.4475000000001,0.6752976190476191
indicator_stateless,157,0.30264567238943924,0.9446488289606003,691.2058333333333,0.6823214285714286
indicator_guarded_last_success,157,0.21770026502155124,0.6429149718511671,691.2058333333333,0.6823214285714286
