policy,samples,mean_bits_per_frame,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio,spectrum_scheme,packet_loss,ber,clean_rate
semantic_only,11,3409.7272727272725,1.542844409722723,0.8573630983308057,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.2,0.0001,0.944
spectrum_rule,11,3409.7272727272725,1.542844409722723,0.8573630983308057,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.2,0.0001,0.944
dqn,11,7785.698181818181,1.4768408445781276,0.753667179195913,0.06356733571469078,0.06356733571469078,8.164628814296782,0.0,0.8181818181818182,0.0,0.18181818181818182,0.0,oracle,0.2,0.0001,0.944
oracle_policy,11,3409.7272727272725,1.542844409722723,0.8573630983308057,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.2,0.0001,0.944
summary_only,13,177.0,0.26988319682012024,0.1499469093445112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.0,0.0001,0.6965999999999999
semantic_only,13,2208.3846153846152,1.7918110872866284,0.9955978296891523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.0,0.0001,0.6965999999999999
spectrum_rule,13,2101.3076923076924,1.4392571083933505,0.7997273696202375,0.0,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,0.0,0.0,random,0.0,0.0001,0.6965999999999999
dqn,13,25697.78769230769,2.999129680232645,0.9504122430287926,0.6448441842881153,0.6517988135223796,25.09337348448642,0.0,0.3076923076923077,0.0,0.6923076923076923,0.0,random,0.0,0.0001,0.6965999999999999
oracle_policy,13,48748.78220206232,3.5425822133245686,0.9088767945766166,0.9088767945766166,0.9023094640074844,18.644092293615625,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,random,0.0,0.0001,0.6965999999999999
summary_only,19,177.0,0.26436715984482734,0.1468824443582374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.05,0.0001,0.6956
semantic_only,19,3896.157894736842,1.636361996593021,0.9093497419668829,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.05,0.0001,0.6956
spectrum_rule,19,3798.4736842105262,1.3213071756094166,0.7343127735841787,0.0,0.0,0.0,0.21052631578947367,0.7894736842105263,0.0,0.0,0.0,random,0.05,0.0001,0.6956
dqn,19,27911.703157894735,1.812454829359606,0.5566198205985007,0.37396474200603835,0.38907452041568674,13.398134104914469,0.0,0.21052631578947367,0.0,0.7894736842105263,0.0,random,0.05,0.0001,0.6956
oracle_policy,19,18906.765533313777,1.974471813650018,0.6805503003886201,0.3457296646885025,0.3591931594841139,18.286029097855252,0.0,0.3684210526315789,0.15789473684210525,0.47368421052631576,0.0,random,0.05,0.0001,0.6956
summary_only,13,177.0,0.2588419461186828,0.143812881177046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.1,0.0001,0.6952
semantic_only,13,3504.3846153846152,1.522844367109203,0.8462582740350274,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.1,0.0001,0.6952
spectrum_rule,13,3485.3076923076924,1.410074685176272,0.7836071789440828,0.0,0.0,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,0.0,random,0.1,0.0001,0.6952
dqn,13,17328.950769230767,1.3569766116104844,0.5563529788304532,0.1475410757938912,0.1598361654433821,8.514137858586608,0.0,0.46153846153846156,0.0,0.5384615384615384,0.0,random,0.1,0.0001,0.6952
oracle_policy,13,3504.3846153846152,1.522844367109203,0.8462582740350274,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.1,0.0001,0.6952
summary_only,10,177.0,0.24787410942406027,0.13771963856892236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
semantic_only,10,6069.8,1.0980235096473991,0.6104177142485548,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
spectrum_rule,10,6069.8,1.0980235096473991,0.6104177142485548,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
dqn,10,6069.8,1.0980235096473991,0.6104177142485548,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
oracle_policy,10,6069.8,1.0980235096473991,0.6104177142485548,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
summary_only,5,177.0,0.2698831968201202,0.1499469093445112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.0,0.0001,0.923
semantic_only,5,5191.4,1.7807919540038157,0.9896749566687865,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.0,0.0001,0.923
spectrum_rule,5,84434.53600000001,3.7324733293978825,0.8486633727251436,0.8486633727251436,0.8486633727251436,10.05114036186737,0.0,0.0,0.0,1.0,0.0,semantic_hard_rep3,0.0,0.0001,0.923
dqn,5,16808.808,2.7118816232615095,0.9674324350082444,0.37261314069221085,0.37261314069221085,22.167731387746876,0.0,0.6,0.0,0.4,0.0,semantic_hard_rep3,0.0,0.0001,0.923
oracle_policy,5,84434.53600000001,3.7324733293978825,0.8486633727251436,0.8486633727251436,0.8486633727251436,10.05114036186737,0.0,0.0,0.0,1.0,0.0,semantic_hard_rep3,0.0,0.0001,0.923
summary_only,10,177.0,0.26706741878299434,0.14838258821277456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.05,0.0001,0.931
semantic_only,10,3254.6,1.7188332875254198,0.9551243552918999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.05,0.0001,0.931
spectrum_rule,10,28203.496000000003,2.553138157785053,0.7187348589736507,0.5210037507947317,0.6512546884934146,18.473020181424733,0.0,0.2,0.0,0.8,0.0,semantic_hard_rep3,0.05,0.0001,0.931
dqn,10,30445.704000000005,2.5944459377222975,0.6931174372813311,0.5954311119291529,0.5818148973531219,19.557147107820295,0.0,0.1,0.0,0.9,0.0,semantic_hard_rep3,0.05,0.0001,0.931
oracle_policy,10,35071.528000000006,2.623666674774783,0.6509829448413871,0.6509829448413871,0.6512546884934146,18.56157920582722,0.0,0.0,0.0,1.0,0.0,semantic_hard_rep3,0.05,0.0001,0.931
summary_only,13,177.0,0.2642470523704424,0.14681571798357915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
semantic_only,13,2535.153846153846,1.685508529525298,0.9365626377704648,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
spectrum_rule,13,12418.667017094016,1.8917719422824584,0.7865661972471514,0.19502862436002702,0.28170801296448345,15.70447328135737,0.0,0.6153846153846154,0.07692307692307693,0.3076923076923077,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
dqn,13,20426.796923076923,1.8364987710084837,0.6644675074452604,0.2985474557352235,0.3239114012243874,14.615480677635913,0.0,0.38461538461538464,0.0,0.6153846153846154,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
oracle_policy,13,12871.755027065527,1.9755231143985765,0.7768454679293938,0.26051733899390406,0.28170801296448345,20.239457513455815,0.0,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
summary_only,14,177.0,0.25861090792076474,0.143684526622647,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
semantic_only,14,3474.714285714286,1.5183749567960843,0.8437732902835389,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
spectrum_rule,14,3474.714285714286,1.5183749567960843,0.8437732902835389,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
dqn,14,5006.4857142857145,1.4951334824147442,0.8039349757718632,0.02558911469354627,0.029853967142470645,5.111192991229202,0.0,0.9285714285714286,0.0,0.07142857142857142,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
oracle_policy,14,3474.714285714286,1.5183749567960843,0.8437732902835389,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
summary_only,9,177.0,0.2698831968201202,0.1499469093445112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.0,0.0001,0.9038
semantic_only,9,2905.0,1.7892322011701636,0.9942115562056464,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.0,0.0001,0.9038
spectrum_rule,9,31219.689596707816,3.686274488083165,0.9399172197084267,0.8289963901141926,0.9326209388784666,26.553639732587605,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,spectrogram8_partial,0.0,0.0001,0.9038
dqn,9,31894.759999999995,3.6805688828290806,0.9386418009316265,0.8277209713373923,0.9311860927545663,25.951628773422105,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,spectrogram8_partial,0.0,0.0001,0.9038
oracle_policy,9,36954.01848559671,3.836516566742084,0.9290392483685765,0.9290392483685765,0.9326209388784666,25.140411961710775,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,spectrogram8_partial,0.0,0.0001,0.9038
summary_only,11,177.0,0.2667003487489189,0.14817866041606603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.05,0.0001,0.899
semantic_only,11,3344.2727272727275,1.7130656138768239,0.9519260703356092,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.05,0.0001,0.899
spectrum_rule,11,3344.2727272727275,1.7130656138768239,0.9519260703356092,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.05,0.0001,0.899
dqn,11,26793.552727272723,2.3037772394034906,0.7073878463441895,0.44551377123748565,0.41258956221779436,16.627648291822247,0.0,0.2727272727272727,0.0,0.7272727272727273,0.0,spectrogram8_partial,0.05,0.0001,0.899
oracle_policy,11,33852.74401178451,2.4012446582363824,0.6419120318288258,0.5570596483879388,0.5212741185709387,16.45537650342378,0.0,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.0,spectrogram8_partial,0.05,0.0001,0.899
summary_only,13,177.0,0.2634486750463286,0.14637217502573807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
semantic_only,13,3659.4615384615386,1.6192103339571136,0.899805260745405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
spectrum_rule,13,3659.4615384615386,1.6192103339571136,0.899805260745405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
dqn,13,24461.923076923078,1.8172319684069898,0.5555943576295822,0.3522420761858323,0.3433189301793812,14.39960689428097,0.0,0.23076923076923078,0.0,0.7692307692307693,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
oracle_policy,13,20724.950421435544,1.894596071336152,0.6133245711385847,0.33495766061240767,0.3433189301793812,16.16204882526355,0.0,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
summary_only,13,177.0,0.2562249526992749,0.1423589959440416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
semantic_only,13,4789.307692307692,1.383270129152347,0.7688026922641243,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
spectrum_rule,13,4789.307692307692,1.383270129152347,0.7688026922641243,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
dqn,13,6373.824615384616,1.365322191272781,0.7299823967724619,0.019968864381684177,0.02163293641349119,3.1329485178310317,0.0,0.9230769230769231,0.0,0.07692307692307693,0.0,spectrogram8_partial,0.2,0.0001,0.8788
oracle_policy,13,4789.307692307692,1.383270129152347,0.7688026922641243,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
