scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,ebn0_db
spectrogram_uint8_fragment,20390711,200,0.4025157232704403,0.6336633663366337,0.4923076923076924,0.47115324391052127,64,95,37,0.94,5.014054295315873e-06,0.0035345619544386864,0.98,970144.0,0.24936799999999948,0.92265625,1.0,6.0
spectrogram_uint8_fragment,20391711,200,0.3888888888888889,0.6237623762376238,0.4790874524714828,0.46692329550546313,63,99,38,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.920703125,1.0,6.0
spectrogram_uint8_fragment,20392711,200,0.37267080745341613,0.594059405940594,0.45801526717557256,0.4762196550766627,60,101,41,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.921875,1.0,6.0
spectrogram_uint8_fragment,20393711,200,0.3924050632911392,0.6138613861386139,0.47876447876447875,0.46698892404956205,62,96,39,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.920859375,1.0,6.0
spectrogram_uint8_fragment,20394711,200,0.39263803680981596,0.6336633663366337,0.4848484848484848,0.4722360367886722,64,99,37,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.921640625,1.0,6.0
hard_semantic,20460711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2666.44,0.0014504000000000001,1.0,0.0,9.0
hard_semantic,20461711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2666.44,0.0014504000000000001,1.0,0.0,9.0
hard_semantic,20462711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2666.44,0.0014504000000000001,1.0,0.0,9.0
hard_semantic,20463711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2666.44,0.0014504000000000001,1.0,0.0,9.0
hard_semantic,20464711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,2666.44,0.0014504000000000001,1.0,0.0,9.0
quantized_soft_semantic,20470711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3123.12,0.00161196,1.0,0.0,9.0
quantized_soft_semantic,20471711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3123.12,0.00161196,1.0,0.0,9.0
quantized_soft_semantic,20472711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3123.12,0.00161196,1.0,0.0,9.0
quantized_soft_semantic,20473711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3123.12,0.00161196,1.0,0.0,9.0
quantized_soft_semantic,20474711,200,0.46258503401360546,0.6732673267326733,0.5483870967741936,0.4807834318455528,68,79,33,0.94,3.076195571338758e-05,0.003560309996828437,0.96,3123.12,0.00161196,1.0,0.0,9.0
compressed_spectrogram_png,20480711,200,0.5392156862745098,0.5445544554455446,0.5418719211822661,0.48067853450775144,55,47,46,0.94,0.00042871071491390467,0.003958258777856827,0.92,893576.6,0.23941847999999957,0.9839457000261895,0.115,9.0
compressed_spectrogram_png,20481711,200,0.5392156862745098,0.5445544554455446,0.5418719211822661,0.48067853450775144,55,47,46,0.94,0.00042871071491390467,0.003958258777856827,0.92,893536.84,0.23937759999999955,0.9839457000261895,0.115,9.0
compressed_spectrogram_png,20482711,200,0.5392156862745098,0.5445544554455446,0.5418719211822661,0.48067853450775144,55,47,46,0.94,0.00042871071491390467,0.003958258777856827,0.92,893576.6,0.23937759999999955,0.9839457000261895,0.115,9.0
compressed_spectrogram_png,20483711,200,0.5392156862745098,0.5445544554455446,0.5418719211822661,0.48067853450775144,55,47,46,0.94,0.00042871071491390467,0.003958258777856827,0.92,893536.84,0.23937759999999955,0.9839457000261895,0.115,9.0
compressed_spectrogram_png,20484711,200,0.5392156862745098,0.5445544554455446,0.5418719211822661,0.48067853450775144,55,47,46,0.94,0.00042871071491390467,0.003958258777856827,0.92,893536.84,0.23937759999999955,0.9839457000261895,0.115,9.0
spectrogram_uint8_fragment,20490711,200,0.39634146341463417,0.6435643564356436,0.49056603773584906,0.4765316706437331,65,99,36,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.9530859375,1.0,9.0
spectrogram_uint8_fragment,20491711,200,0.39634146341463417,0.6435643564356436,0.49056603773584906,0.4765316706437331,65,99,36,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.953125,1.0,9.0
spectrogram_uint8_fragment,20492711,200,0.39634146341463417,0.6435643564356436,0.49056603773584906,0.4765316706437331,65,99,36,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.953125,1.0,9.0
spectrogram_uint8_fragment,20493711,200,0.39634146341463417,0.6435643564356436,0.49056603773584906,0.4765316706437331,65,99,36,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.953125,1.0,9.0
spectrogram_uint8_fragment,20494711,200,0.39634146341463417,0.6435643564356436,0.49056603773584906,0.4765316706437331,65,99,36,0.94,3.076195571338758e-05,0.003560309996828437,0.96,970144.0,0.24936799999999948,0.953125,1.0,9.0
