condition,scheme,repeat_count,f1_mean,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high,mean_link_latency_s_mean,mean_link_latency_s_std,mean_link_latency_s_ci95_low,mean_link_latency_s_ci95_high,mean_payload_delivery_ratio_mean,mean_payload_delivery_ratio_std,mean_payload_delivery_ratio_ci95_low,mean_payload_delivery_ratio_ci95_high
awgn_3dB_250ms,hard_semantic,3,0.38203108658852997,0.8404666666666666,0.0027300793639258077,0.8373772910375502,0.843556042295783,0.006062201224267483,0.00020457239048031473,0.005830705771830836,0.00629369667670413,4335.868133333333,1.6548979102450596,4333.995440055569,4337.740826611098,0.0028218623999999998,2.1330051007909433e-06,0.0028194486775045156,0.002824276122495484,0.6131526756995483,0.001402011684952264,0.6115661501250685,0.6147392012740281
awgn_3dB_250ms,selected_strong_psd,3,,0.7048,0.00019999999999997797,0.7045736786944776,0.7050263213055223,0.015052457650502523,6.065300754018087e-05,0.014983822311250774,0.015121092989754273,3598.1764000000003,2.144640986272577,3595.749510260551,3600.60328973945,0.0026305920666666663,1.3721902249081926e-06,0.002629039287251035,0.0026321448460822974,0.6779000000000001,0.0006499999999999839,0.6771644557570525,0.6786355442429476
burst_6dB_25ms,hard_semantic,3,0.4826994931524719,0.9257333333333334,0.0009865765724632683,0.9246169168439452,0.9268497498227216,0.0008487799980988105,7.321714793145783e-05,0.0007659269955664638,0.0009316330006311573,2745.2450666666664,1.1769340734863507,2743.9132403865406,2746.576892946792,0.0015959636,1.0930826684199193e-06,0.0015947266605171968,0.001597200539482803,0.985117410796127,0.00016071947670940408,0.9849355395871683,0.9852992820050858
burst_6dB_25ms,selected_strong_psd,3,,0.7055333333333333,0.0002309401076758249,0.705272,0.7057946666666667,0.014993510829905668,2.422569095751857e-05,0.014966096879882238,0.015020924779929098,2357.7624,0.5004015987185192,2357.196142284463,2358.3286577155372,0.001473997933333333,1.3721902249081011e-06,0.0014724451539177021,0.001475550712748964,0.98605,9.999999999998899e-05,0.9859368393472389,0.9861631606527611
rayleigh_6dB_250ms,hard_semantic,3,0.4453807305489965,0.8918666666666667,0.0016772994167212239,0.8899686236979457,0.8937647096353877,0.0028763843389848867,4.694721323124316e-05,0.002823258566039235,0.0029295101119305384,3788.2982666666667,3.3089346764982372,3784.5538545873005,3792.042678746033,0.0026599794666666665,2.167851215681957e-06,0.00265752631208011,0.002662432621253223,0.8199590020498975,0.0009164693155253788,0.8189219193900932,0.8209960847097018
rayleigh_6dB_250ms,selected_strong_psd,3,,0.706,0.0007999999999999674,0.7050947147779106,0.7069052852220893,0.014932024603088697,2.6489235322797107e-05,0.014902049211485979,0.014961999994691416,3237.8192,1.8898465122862367,3235.680637350513,3239.957762649487,0.0025140947999999995,1.8718000000001334e-06,0.002511976658901616,0.002516212941098383,0.8295,0.0006500000000000266,0.8287644557570524,0.8302355442429477
rician_6dB_250ms,hard_semantic,3,0.47102230771102027,0.9138666666666667,0.001962990915244768,0.9116453333333333,0.9160880000000001,0.0015568831004202366,0.00010323293467809981,0.00144006403767399,0.0016737021631664831,3367.5282666666667,1.9357709093106874,3365.33773566973,3369.7187976636033,0.0023943807999999996,1.6917544620894298e-06,0.002392466399607583,0.0023962952003924163,0.9328033598320085,0.0003904929591473591,0.9323614754504509,0.933245244213566
rician_6dB_250ms,selected_strong_psd,3,,0.7064666666666667,0.00110151410945721,0.7052201861101486,0.7077131472231848,0.01496082233885924,7.766178019423925e-05,0.014872939761445497,0.015048704916272982,2874.1710666666672,0.7014395863746881,2873.3773130520003,2874.964820281334,0.0022554298666666666,1.8201541729573301e-06,0.0022533701683232887,0.0022574895650100445,0.9377000000000001,0.0006557438524301786,0.9369579559761488,0.9384420440238513
