task_id,n_channels,demand_channels,method,channel,ebn0_db,mean_regret_db,mean_actual_bits,frame_success_rate,mean_link_latency_ms
N8_D2,8,2,soft_power_fixed4,awgn,0.0,1.2980457051595051,1035.7122222222222,0.0005555555555555556,2.6172727777777736
N8_D2,8,2,soft_power_fixed4,awgn,3.0,0.368055339389377,784.77,0.737777777777778,1.9831350000000043
N8_D2,8,2,soft_power_fixed4,awgn,6.0,0.0011786566840277777,523.1800000000002,1.0,1.3220899999999978
N8_D2,8,2,soft_power_fixed4,awgn,9.0,0.0011786566840277777,518.0,1.0,1.308999999999998
N8_D2,8,2,soft_power_fixed4,rayleigh,0.0,0.9401583607991533,966.0700000000007,0.2550000000000001,2.4412849999999997
N8_D2,8,2,soft_power_fixed4,rayleigh,3.0,0.5745605680677625,842.6133333333333,0.5883333333333334,2.12930666666667
N8_D2,8,2,soft_power_fixed4,rayleigh,6.0,0.20819801330566406,724.0488888888887,0.8394444444444453,1.8296911111111163
N8_D2,8,2,soft_power_fixed4,rayleigh,9.0,0.06323496500651041,634.2622222222227,0.9561111111111121,1.6027977777777782
N8_D2,8,2,soft_power_fixed4,rician,0.0,1.0822358745998804,992.5455555555559,0.16166666666666668,2.508189444444443
N8_D2,8,2,soft_power_fixed4,rician,3.0,0.4768192672729488,819.5911111111114,0.6588888888888891,2.071128888888893
N8_D2,8,2,soft_power_fixed4,rician,6.0,0.10615538703070745,642.6077777777781,0.9366666666666679,1.6238872222222225
N8_D2,8,2,soft_power_fixed4,rician,9.0,0.014135513305664059,561.4544444444451,0.9933333333333335,1.4188105555555526
N8_D2,8,2,best_block_onehot,awgn,0.0,1.2960813479953341,951.4711111111111,0.0011111111111111111,2.574568888888896
N8_D2,8,2,best_block_onehot,awgn,3.0,0.32392360263400605,707.3888888888887,0.7650000000000007,1.91411111111111
N8_D2,8,2,best_block_onehot,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N8_D2,8,2,best_block_onehot,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N8_D2,8,2,best_block_onehot,rayleigh,0.0,0.9326316663953991,885.0955555555544,0.2644444444444445,2.394964444444447
N8_D2,8,2,best_block_onehot,rayleigh,3.0,0.5631002341376408,771.3844444444442,0.5950000000000001,2.0872755555555536
N8_D2,8,2,best_block_onehot,rayleigh,6.0,0.20203668382432727,662.1688888888888,0.8444444444444452,1.7917511111111104
N8_D2,8,2,best_block_onehot,rayleigh,9.0,0.05851005554199217,580.9844444444448,0.9572222222222232,1.5720755555555546
N8_D2,8,2,best_block_onehot,rician,0.0,1.0728463745117183,911.5399999999986,0.16833333333333342,2.4665200000000036
N8_D2,8,2,best_block_onehot,rician,3.0,0.46217710706922727,749.1711111111114,0.6699999999999999,2.0271688888888866
N8_D2,8,2,best_block_onehot,rician,6.0,0.0966825442843967,587.5955555555555,0.9383333333333346,1.5899644444444438
N8_D2,8,2,best_block_onehot,rician,9.0,0.012956856621636282,514.6088888888892,0.9933333333333335,1.3924711111111117
N8_D2,8,2,best_block_binary_index,awgn,0.0,1.2960813479953341,951.4711111111111,0.0011111111111111111,2.574568888888896
N8_D2,8,2,best_block_binary_index,awgn,3.0,0.32392360263400605,707.3888888888887,0.7650000000000007,1.91411111111111
N8_D2,8,2,best_block_binary_index,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N8_D2,8,2,best_block_binary_index,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N8_D2,8,2,best_block_binary_index,rayleigh,0.0,0.9326316663953991,885.0955555555544,0.2644444444444445,2.394964444444447
N8_D2,8,2,best_block_binary_index,rayleigh,3.0,0.5631002341376408,771.3844444444442,0.5950000000000001,2.0872755555555536
N8_D2,8,2,best_block_binary_index,rayleigh,6.0,0.20203668382432727,662.1688888888888,0.8444444444444452,1.7917511111111104
N8_D2,8,2,best_block_binary_index,rayleigh,9.0,0.05851005554199217,580.9844444444448,0.9572222222222232,1.5720755555555546
N8_D2,8,2,best_block_binary_index,rician,0.0,1.0728463745117183,911.5399999999986,0.16833333333333342,2.4665200000000036
N8_D2,8,2,best_block_binary_index,rician,3.0,0.46217710706922727,749.1711111111114,0.6699999999999999,2.0271688888888866
N8_D2,8,2,best_block_binary_index,rician,6.0,0.0966825442843967,587.5955555555555,0.9383333333333346,1.5899644444444438
N8_D2,8,2,best_block_binary_index,rician,9.0,0.012956856621636282,514.6088888888892,0.9933333333333335,1.3924711111111117
N8_D4,8,4,soft_power_fixed4,awgn,0.0,0.7397488488091363,1035.7122222222222,0.0005555555555555556,2.6172727777777736
N8_D4,8,4,soft_power_fixed4,awgn,3.0,0.20402208540174685,784.77,0.737777777777778,1.9831350000000043
N8_D4,8,4,soft_power_fixed4,awgn,6.0,0.0012199825710720487,523.1800000000002,1.0,1.3220899999999978
N8_D4,8,4,soft_power_fixed4,awgn,9.0,0.0012199825710720487,518.0,1.0,1.308999999999998
N8_D4,8,4,soft_power_fixed4,rayleigh,0.0,0.5330650711059568,966.0700000000007,0.2550000000000001,2.4412849999999997
N8_D4,8,4,soft_power_fixed4,rayleigh,3.0,0.33138631184895834,842.6133333333333,0.5883333333333334,2.12930666666667
N8_D4,8,4,soft_power_fixed4,rayleigh,6.0,0.12306817372639964,724.0488888888887,0.8394444444444453,1.8296911111111163
N8_D4,8,4,soft_power_fixed4,rayleigh,9.0,0.03358028835720485,634.2622222222227,0.9561111111111121,1.6027977777777782
N8_D4,8,4,soft_power_fixed4,rician,0.0,0.6235967381795244,992.5455555555559,0.16166666666666668,2.508189444444443
N8_D4,8,4,soft_power_fixed4,rician,3.0,0.26885501013861757,819.5911111111114,0.6588888888888891,2.071128888888893
N8_D4,8,4,soft_power_fixed4,rician,6.0,0.06016401502821178,642.6077777777781,0.9366666666666679,1.6238872222222225
N8_D4,8,4,soft_power_fixed4,rician,9.0,0.007374025980631509,561.4544444444451,0.9933333333333335,1.4188105555555526
N8_D4,8,4,best_block_onehot,awgn,0.0,0.7392003631591797,951.4711111111111,0.0011111111111111111,2.574568888888896
N8_D4,8,4,best_block_onehot,awgn,3.0,0.1801751285129123,707.3888888888887,0.7650000000000007,1.91411111111111
N8_D4,8,4,best_block_onehot,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N8_D4,8,4,best_block_onehot,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N8_D4,8,4,best_block_onehot,rayleigh,0.0,0.5289047283596462,885.0955555555544,0.2644444444444445,2.394964444444447
N8_D4,8,4,best_block_onehot,rayleigh,3.0,0.32407919565836585,771.3844444444442,0.5950000000000001,2.0872755555555536
N8_D4,8,4,best_block_onehot,rayleigh,6.0,0.11820808410644522,662.1688888888888,0.8444444444444452,1.7917511111111104
N8_D4,8,4,best_block_onehot,rayleigh,9.0,0.030584301418728296,580.9844444444448,0.9572222222222232,1.5720755555555546
N8_D4,8,4,best_block_onehot,rician,0.0,0.6181356938680009,911.5399999999986,0.16833333333333342,2.4665200000000036
N8_D4,8,4,best_block_onehot,rician,3.0,0.25996116638183586,749.1711111111114,0.6699999999999999,2.0271688888888866
N8_D4,8,4,best_block_onehot,rician,6.0,0.05502154456244572,587.5955555555555,0.9383333333333346,1.5899644444444438
N8_D4,8,4,best_block_onehot,rician,9.0,0.006156586541069876,514.6088888888892,0.9933333333333335,1.3924711111111117
N8_D4,8,4,best_block_binary_index,awgn,0.0,0.7392003631591797,951.4711111111111,0.0011111111111111111,2.574568888888896
N8_D4,8,4,best_block_binary_index,awgn,3.0,0.1801751285129123,707.3888888888887,0.7650000000000007,1.91411111111111
N8_D4,8,4,best_block_binary_index,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N8_D4,8,4,best_block_binary_index,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N8_D4,8,4,best_block_binary_index,rayleigh,0.0,0.5289047283596462,885.0955555555544,0.2644444444444445,2.394964444444447
N8_D4,8,4,best_block_binary_index,rayleigh,3.0,0.32407919565836585,771.3844444444442,0.5950000000000001,2.0872755555555536
N8_D4,8,4,best_block_binary_index,rayleigh,6.0,0.11820808410644522,662.1688888888888,0.8444444444444452,1.7917511111111104
N8_D4,8,4,best_block_binary_index,rayleigh,9.0,0.030584301418728296,580.9844444444448,0.9572222222222232,1.5720755555555546
N8_D4,8,4,best_block_binary_index,rician,0.0,0.6181356938680009,911.5399999999986,0.16833333333333342,2.4665200000000036
N8_D4,8,4,best_block_binary_index,rician,3.0,0.25996116638183586,749.1711111111114,0.6699999999999999,2.0271688888888866
N8_D4,8,4,best_block_binary_index,rician,6.0,0.05502154456244572,587.5955555555555,0.9383333333333346,1.5899644444444438
N8_D4,8,4,best_block_binary_index,rician,9.0,0.006156586541069876,514.6088888888892,0.9933333333333335,1.3924711111111117
N8_D6,8,6,soft_power_fixed4,awgn,0.0,0.19508733961317273,1035.7122222222222,0.0005555555555555556,2.6172727777777736
N8_D6,8,6,soft_power_fixed4,awgn,3.0,0.0529374779595269,784.77,0.737777777777778,1.9831350000000043
N8_D6,8,6,soft_power_fixed4,awgn,6.0,0.0,523.1800000000002,1.0,1.3220899999999978
N8_D6,8,6,soft_power_fixed4,awgn,9.0,0.0,518.0,1.0,1.308999999999998
N8_D6,8,6,soft_power_fixed4,rayleigh,0.0,0.14160555097791885,966.0700000000007,0.2550000000000001,2.4412849999999997
N8_D6,8,6,soft_power_fixed4,rayleigh,3.0,0.088666263156467,842.6133333333333,0.5883333333333334,2.12930666666667
N8_D6,8,6,soft_power_fixed4,rayleigh,6.0,0.03110502878824871,724.0488888888887,0.8394444444444453,1.8296911111111163
N8_D6,8,6,soft_power_fixed4,rayleigh,9.0,0.008202662997775605,634.2622222222227,0.9561111111111121,1.6027977777777782
N8_D6,8,6,soft_power_fixed4,rician,0.0,0.1600713687472873,992.5455555555559,0.16166666666666668,2.508189444444443
N8_D6,8,6,soft_power_fixed4,rician,3.0,0.07060490078396264,819.5911111111114,0.6588888888888891,2.071128888888893
N8_D6,8,6,soft_power_fixed4,rician,6.0,0.01542050255669488,642.6077777777781,0.9366666666666679,1.6238872222222225
N8_D6,8,6,soft_power_fixed4,rician,9.0,0.002599915398491753,561.4544444444451,0.9933333333333335,1.4188105555555526
N8_D6,8,6,best_block_onehot,awgn,0.0,0.19508733961317273,951.4711111111111,0.0011111111111111111,2.574568888888896
N8_D6,8,6,best_block_onehot,awgn,3.0,0.046884824964735235,707.3888888888887,0.7650000000000007,1.91411111111111
N8_D6,8,6,best_block_onehot,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N8_D6,8,6,best_block_onehot,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N8_D6,8,6,best_block_onehot,rayleigh,0.0,0.14030239952935117,885.0955555555544,0.2644444444444445,2.394964444444447
N8_D6,8,6,best_block_onehot,rayleigh,3.0,0.08739223480224609,771.3844444444442,0.5950000000000001,2.0872755555555536
N8_D6,8,6,best_block_onehot,rayleigh,6.0,0.030588077969021278,662.1688888888888,0.8444444444444452,1.7917511111111104
N8_D6,8,6,best_block_onehot,rayleigh,9.0,0.008202662997775605,580.9844444444448,0.9572222222222232,1.5720755555555546
N8_D6,8,6,best_block_onehot,rician,0.0,0.15844273461235892,911.5399999999986,0.16833333333333342,2.4665200000000036
N8_D6,8,6,best_block_onehot,rician,3.0,0.06862762875027124,749.1711111111114,0.6699999999999999,2.0271688888888866
N8_D6,8,6,best_block_onehot,rician,6.0,0.014593264261881513,587.5955555555555,0.9383333333333346,1.5899644444444438
N8_D6,8,6,best_block_onehot,rician,9.0,0.002599915398491753,514.6088888888892,0.9933333333333335,1.3924711111111117
N8_D6,8,6,best_block_binary_index,awgn,0.0,0.19508733961317273,951.4711111111111,0.0011111111111111111,2.574568888888896
N8_D6,8,6,best_block_binary_index,awgn,3.0,0.046884824964735235,707.3888888888887,0.7650000000000007,1.91411111111111
