task_id,n_channels,demand_channels,demand_ratio,candidate_blocks,method,payload_bits,application_bits,mean_clean_regret_db,mean_regret_db,cvar_0_9_regret_db,mean_actual_bits,frame_success_rate,mean_link_latency_ms
N8_D2,8,2,0.25,7,soft_power_fixed4,32,184,0.0011786566840277777,0.4278296922754358,1.626028142152009,753.7379629629629,0.6773148148148149,1.9047162037037035
N8_D2,8,2,0.25,7,best_block_onehot,7,159,0.0,0.4184122060846399,1.5847129115351923,689.7812962962963,0.6831018518518519,1.8664670370370366
N8_D2,8,2,0.25,7,best_block_binary_index,3,155,0.0,0.4184122060846399,1.5847129115351923,689.7812962962963,0.6831018518518519,1.8664670370370366
N8_D4,8,4,0.5,5,soft_power_fixed4,32,184,0.0012199825710720487,0.2439417111432111,0.8521460179929379,753.7379629629629,0.6773148148148149,1.9047162037037035
N8_D4,8,4,0.5,5,best_block_onehot,5,157,0.0,0.2383688993807192,0.8329271457813403,689.7812962962963,0.6831018518518519,1.8664670370370366
N8_D4,8,4,0.5,5,best_block_binary_index,3,155,0.0,0.2383688993807192,0.8329271457813403,689.7812962962963,0.6831018518518519,1.8664670370370366
N8_D6,8,6,0.75,3,soft_power_fixed4,32,184,0.0,0.06385841758162887,0.2758362805401837,753.7379629629629,0.6773148148148149,1.9047162037037035
N8_D6,8,6,0.75,3,best_block_onehot,3,155,0.0,0.06272675690827546,0.27184713151719836,689.7812962962963,0.6831018518518519,1.8664670370370366
N8_D6,8,6,0.75,3,best_block_binary_index,2,154,0.0,0.06272675690827546,0.27184713151719836,689.7812962962963,0.6831018518518519,1.8664670370370366
N16_D4,16,4,0.25,13,soft_power_fixed4,64,216,0.004298146565755208,0.45080355926796234,1.6815693608036748,839.9001851851851,0.6678703703703704,1.9563528703703703
N16_D4,16,4,0.25,13,best_block_onehot,13,165,0.0,0.43237287662647395,1.626174608866374,711.0444444444445,0.680462962962963,1.8791888888888886
N16_D4,16,4,0.25,13,best_block_binary_index,4,156,0.0,0.4284559066207321,1.6083489347387245,689.7812962962963,0.6831018518518519,1.8664670370370366
N16_D8,16,8,0.5,9,soft_power_fixed4,64,216,0.0007807837592230903,0.2522136857774523,0.8786653871889468,839.9001851851851,0.6678703703703704,1.9563528703703703
N16_D8,16,8,0.5,9,best_block_onehot,9,161,0.0,0.24284778877540872,0.8486430768613463,711.0444444444445,0.680462962962963,1.8791888888888886
N16_D8,16,8,0.5,9,best_block_binary_index,4,156,0.0,0.24077014711168074,0.8399796874434861,689.7812962962963,0.6831018518518519,1.8664670370370366
N16_D12,16,12,0.75,5,soft_power_fixed4,64,216,0.0006545172797309028,0.06610848991959184,0.2807906256781684,839.9001851851851,0.6678703703703704,1.9563528703703703
N16_D12,16,12,0.75,5,best_block_onehot,5,157,0.0,0.06296027854636864,0.2718477531715675,689.7812962962963,0.6831018518518519,1.8664670370370366
N16_D12,16,12,0.75,5,best_block_binary_index,3,155,0.0,0.06296027854636864,0.2718477531715675,689.7812962962963,0.6831018518518519,1.8664670370370366
N32_D8,32,8,0.25,25,soft_power_fixed4,128,280,0.0016373528374565972,0.47486654599507655,1.7726090254607025,1012.7710185185185,0.6536574074074075,2.056545231481482
N32_D8,32,8,0.25,25,best_block_onehot,25,177,0.0,0.4420302574722855,1.657613220921269,753.7379629629629,0.6773148148148149,1.9047162037037035
N32_D8,32,8,0.25,25,best_block_binary_index,5,157,0.0,0.4331970928333424,1.6159429020351834,689.7812962962963,0.6831018518518519,1.8664670370370366
N32_D16,32,16,0.5,17,soft_power_fixed4,128,280,0.000600984361436632,0.26616831532231083,0.9271603760895906,1012.7710185185185,0.6536574074074075,2.056545231481482
N32_D16,32,16,0.5,17,best_block_onehot,17,169,0.0,0.24652852446944623,0.8625907474093967,732.3633333333333,0.6787037037037038,1.8919386111111107
N32_D16,32,16,0.5,17,best_block_binary_index,5,157,0.0,0.2429871170609086,0.8479383115415219,689.7812962962963,0.6831018518518519,1.8664670370370366
N32_D24,32,24,0.75,9,soft_power_fixed4,128,280,0.00017649332682291666,0.0688447055110225,0.29591321591977715,1012.7710185185185,0.6536574074074075,2.056545231481482
N32_D24,32,24,0.75,9,best_block_onehot,9,161,0.0,0.0637253079590974,0.2742278310987684,711.0444444444445,0.680462962962963,1.8791888888888886
N32_D24,32,24,0.75,9,best_block_binary_index,4,156,0.0,0.06311270678484882,0.2720390637715657,689.7812962962963,0.6831018518518519,1.8664670370370366
N64_D16,64,16,0.25,49,soft_power_fixed4,256,408,0.0030074649386935765,0.5124917712035002,1.88968909934715,1362.8092592592593,0.6282407407407408,2.253876851851852
N64_D16,64,16,0.25,49,best_block_onehot,49,201,0.0,0.452579697502984,1.6766393732141567,817.9888888888889,0.6702314814814816,1.942723611111111
N64_D16,64,16,0.25,49,best_block_binary_index,6,158,0.0,0.4357786189185249,1.6178449630737306,689.7812962962963,0.6831018518518519,1.8664670370370366
N64_D32,64,32,0.5,33,soft_power_fixed4,256,408,0.0009175194634331597,0.28624515604089806,0.9842269226356789,1362.8092592592593,0.6282407407407408,2.253876851851852
N64_D32,64,32,0.5,33,best_block_onehot,33,185,0.0,0.25061943301448114,0.8738302018907335,775.2914814814815,0.6747222222222223,1.917826296296296
N64_D32,64,32,0.5,33,best_block_binary_index,6,158,0.0,0.24399973904645003,0.8485359827677409,689.7812962962963,0.6831018518518519,1.8664670370370366
N64_D48,64,48,0.75,17,soft_power_fixed4,256,408,0.00010443793402777777,0.07376159632647479,0.31554168771814417,1362.8092592592593,0.6282407407407408,2.253876851851852
N64_D48,64,48,0.75,17,best_block_onehot,17,169,0.0,0.06417831774111148,0.2761126553570783,732.3633333333333,0.6787037037037038,1.8919386111111107
N64_D48,64,48,0.75,17,best_block_binary_index,5,157,0.0,0.06327441957261827,0.27264607747395825,689.7812962962963,0.6831018518518519,1.8664670370370366
