method,application_bits,mean_regret_db,cvar_0_9_regret_db,mean_actual_bits,frame_success_rate,mean_link_latency_ms
hard_mean_energy_1bit,160,0.6444524489508735,2.3964750501844616,690.7509259259259,0.6822685185185186,1.8690907407407407
occupancy_fraction_4bit,184,0.5574354111706769,2.38431633843316,754.5533333333335,0.6765740740740741,1.906776666666667
soft_channel_power_4bit,184,0.2410494263966878,0.8265424728393554,754.5533333333335,0.6765740740740741,1.906776666666667
soft_channel_power_8bit,216,0.24787264894556113,0.8523571968078615,840.7771296296296,0.6666666666666666,1.9583955092592593
proposed_best_block_indicator_1bit,157,0.23522510846455894,0.8065173502321596,690.7509259259259,0.6822685185185186,1.8690907407407407
