baseline,clusters,bootstrap_repetitions,mean_regret_diff,mean_regret_one_sided_95_upper,mean_regret_one_sided_p,cvar_diff,cvar_one_sided_95_upper,cvar_one_sided_p,actual_bit_diff,actual_bit_one_sided_95_upper
hard_mean_energy_1bit,72,10000,-0.4092273404863145,-0.3249509196048974,9.999000099990002e-05,-1.589957699952302,-1.2397049148645085,9.999000099990002e-05,0.0,0.0
occupancy_fraction_4bit,72,10000,-0.322210302706118,-0.23834694670594583,9.999000099990002e-05,-1.5777989882010002,-1.1790847852494983,9.999000099990002e-05,-63.8024074074074,-63.36628876438359
soft_channel_power_4bit,72,10000,-0.005824317932128907,-0.004286755227760772,9.999000099990002e-05,-0.0200251226071958,-0.011014795126738449,9.999000099990002e-05,-63.8024074074074,-63.35562805474097
soft_channel_power_8bit,72,10000,-0.012647540481002245,-0.0100043798557665,9.999000099990002e-05,-0.04583984657570184,-0.03149591181942835,9.999000099990002e-05,-150.02620370370371,-149.11844663515976
