baseline,clusters,bootstrap_repetitions,mean_regret_diff,mean_regret_one_sided_95_upper,mean_regret_one_sided_p,cvar_diff,cvar_one_sided_95_upper,cvar_one_sided_p,actual_bit_diff,actual_bit_one_sided_95_upper
no_arq_stateless,72,10000,-0.10157084782918295,-0.07840605621465016,9.999000099990002e-05,-0.43426310927779593,-0.33699869241398456,9.999000099990002e-05,214.57462962962964,216.63935971117007
standard_arq_stateless,72,10000,-0.033276810116238065,-0.020193782113141715,0.00019998000199980003,-0.1895868336712872,-0.13480919206816316,9.999000099990002e-05,0.0,0.0
extra_arq_stateless,72,10000,0.0019337156083848726,0.010507828822650386,0.6492350764923508,-0.04733025232950855,-0.011584876554983711,0.0103989601039896,-151.5487037037037,-149.64127050238923
standard_arq_unlimited_hold,72,10000,0.01525081952412923,0.023425429427941923,0.9991000899910009,0.05539917062830041,0.09437650380311192,0.9985001499850015,0.0,0.0
