ebn0_db,scheme,repeat_count,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,mean_selected_occupancy_mean,mean_selected_occupancy_std,mean_selected_occupancy_ci95_low,mean_selected_occupancy_ci95_high,oracle_equivalent_rate_mean,oracle_equivalent_rate_std,oracle_equivalent_rate_ci95_low,oracle_equivalent_rate_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high,mean_link_latency_s_mean,mean_link_latency_s_std,mean_link_latency_s_ci95_low,mean_link_latency_s_ci95_high,mean_payload_delivery_ratio_mean,mean_payload_delivery_ratio_std,mean_payload_delivery_ratio_ci95_low,mean_payload_delivery_ratio_ci95_high,latency_budget_exhaustion_rate_mean,latency_budget_exhaustion_rate_std,latency_budget_exhaustion_rate_ci95_low,latency_budget_exhaustion_rate_ci95_high
3.0,hard_semantic,5,0.4382703227918734,0.07303339520279867,0.37425372936185597,0.5022869162218908,0.8160000000000001,0.07797435475847173,0.7476524645652823,0.8843475354347178,0.005819186475127936,0.002933127936016986,0.0032481864820859832,0.00839018646816989,0.008457464165985584,0.002933128200295244,0.0058864639412935255,0.011028464390677643,0.7120000000000001,0.09549869109050657,0.6282917065040746,0.7957082934959255,4453.232,159.82060542996336,4313.143062724945,4593.320937275055,0.002858743999999999,3.154346334821229e-05,0.002831094935309388,0.00288639306469061,0.5980000000000001,0.0752994023880668,0.5319971636973078,0.6640028363026924,0.0,0.0,0.0,0.0
3.0,quantized_psd_4bit,5,,,,,0.648,0.03346640106136305,0.6186654060876923,0.6773345939123078,0.012267145700752735,0.0018841431613933598,0.010615621402971707,0.013918669998533764,0.014905422739684582,0.0018841434980280392,0.013253898146830248,0.01655694733253892,0.56,0.03999999999999998,0.5249384541128034,0.5950615458871967,3819.0879999999997,92.63760964100915,3737.8875549672885,3900.288445032711,0.002691192,2.4167422700817915e-05,0.0026700083199999998,0.00271237568,0.6519999999999999,0.06457553716385177,0.5953970460134808,0.7086029539865191,0.0,0.0,0.0,0.0
3.0,quantized_psd_8bit,5,,,,,0.5680000000000001,0.01788854381999828,0.5523200000000001,0.58368,0.020063379779458046,0.0004020326051934271,0.019710982663579582,0.02041577689533651,0.02270165681838989,0.00040203301416080837,0.022349259344035713,0.02305405429274407,0.384,0.04560701700396552,0.34402368701343256,0.42397631298656746,4016.8799999999997,82.8156506947812,3944.2888815746714,4089.471118425328,0.00270816,2.9905651639782142e-05,0.0026819465405686312,0.0027343734594313684,0.634,0.061886993787063166,0.5797536581878557,0.6882463418121443,0.0,0.0,0.0,0.0
3.0,spectrogram_tile16,5,0.0,0.0,0.0,0.0,0.5760000000000001,0.03577708763999661,0.5446400000000001,0.60736,0.017852245643734933,0.001422377237267866,0.01660547702440065,0.019099014263069217,0.02049052305519581,0.001422376615062806,0.019243754981248307,0.021737291129143313,0.336,0.045607017003965515,0.2960236870134326,0.3759763129865674,848839.4879999999,134.56463250053358,848721.5368990697,848957.4391009301,0.24965091200000003,2.117066649873251e-05,0.24963235509262732,0.24966946890737274,0.00415625,0.00013975424859373698,0.00403375,0.0042787500000000004,1.0,0.0,1.0,1.0
6.0,hard_semantic,5,0.5441176470588235,0.0,0.5441176470588235,0.5441176470588235,0.96,0.0,0.96,0.96,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,0.002689773216843605,0.0,0.002689773216843605,0.002689773216843605,0.96,0.0,0.96,0.96,2737.28,38.348757476611816,2703.6658320004203,2770.89416799958,0.0015129520000000001,7.231853095853097e-05,0.0014495620127075704,0.0015763419872924299,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6.0,quantized_psd_4bit,5,,,,,0.68,0.0,0.68,0.68,0.011120953597128391,0.0,0.011120953597128391,0.011120953597128391,0.013759230263531208,0.0,0.013759230263531208,0.013759230263531208,0.6,0.0,0.6,0.6,2446.528,27.45542423638716,2422.462259582086,2470.5937404179135,0.001426656,6.161507997235742e-05,0.0013726480011551476,0.0014806639988448526,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6.0,quantized_psd_8bit,5,,,,,0.6,0.0,0.6,0.6,0.01951107196509838,0.0,0.01951107196509838,0.01951107196509838,0.022149350494146347,0.0,0.022149350494146347,0.022149350494146347,0.44000000000000006,6.206335383118183e-17,0.44,0.4400000000000001,2545.2,25.200000000000045,2523.111226091066,2567.2887739089338,0.0014195999999999996,5.459999999999992e-05,0.0013717409898639761,0.001467459010136023,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6.0,spectrogram_tile16,5,0.28857889237199585,0.010463636353723058,0.27940711071792085,0.29775067402607086,0.96,0.0,0.96,0.96,0.0005685319832991808,0.00019570184574194761,0.0003969917521819212,0.0007400722144164405,0.00320680933073163,0.00019570190094359642,0.003035269051227992,0.0033783496102352682,0.9040000000000001,0.035777087639996624,0.8726400000000002,0.9353600000000001,803972.7359999999,56.642553614766456,803923.0866126816,804022.3853873182,0.24932655999999986,5.1665880424110144e-05,0.24928127285906757,0.24937184714093216,0.713875,0.00017116329922036076,0.7137249687532545,0.7140250312467455,1.0,0.0,1.0,1.0
9.0,hard_semantic,5,0.5441176470588235,0.0,0.5441176470588235,0.5441176470588235,0.96,0.0,0.96,0.96,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,0.002689773216843605,0.0,0.002689773216843605,0.002689773216843605,0.96,0.0,0.96,0.96,2709.28,0.0,2709.28,2709.28,0.00146048,0.0,0.00146048,0.00146048,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9.0,quantized_psd_4bit,5,,,,,0.68,0.0,0.68,0.68,0.011120953597128391,0.0,0.011120953597128391,0.011120953597128391,0.013759230263531208,0.0,0.013759230263531208,0.013759230263531208,0.6,0.0,0.6,0.6,2408.0,0.0,2408.0,2408.0,0.001351,0.0,0.001351,0.001351,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
