scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,ebn0_db
quantized_psd_8bit,28381711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2520.0,0.001365,1.0,0.0,6.0
quantized_psd_8bit,28382711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2545.2,0.0014195999999999998,1.0,0.0,6.0
quantized_psd_8bit,28383711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2520.0,0.001365,1.0,0.0,6.0
quantized_psd_8bit,28384711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2570.4,0.0014741999999999997,1.0,0.0,6.0
spectrogram_tile16,28390711,,,,0.3,,,,,0.96,0.00027108853100799024,0.0029093658085912466,0.88,803944.96,0.24927167999999988,0.71390625,1.0,6.0
spectrogram_tile16,28391711,,,,0.2840909090909091,,,,,0.96,0.0005685732467100024,0.0032068504951894283,0.92,803944.96,0.24934335999999988,0.71390625,1.0,6.0
spectrogram_tile16,28392711,,,,0.29885057471264365,,,,,0.96,0.0007181998225860298,0.0033564770128577948,0.88,803955.04,0.24936799999999984,0.71390625,1.0,6.0
spectrogram_tile16,28393711,,,,0.2758620689655173,,,,,0.96,0.000517077452968806,0.0031553548760712147,0.96,803944.96,0.24937807999999986,0.7140625,1.0,6.0
spectrogram_tile16,28394711,,,,0.2840909090909091,,,,,0.96,0.0007677208632230759,0.0034059984609484673,0.88,804073.76,0.24927167999999988,0.71359375,1.0,6.0
hard_semantic,28460711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,9.0
hard_semantic,28461711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,9.0
hard_semantic,28462711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,9.0
hard_semantic,28463711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,9.0
