method,repeat_count,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,mean_selected_occupancy_mean,mean_selected_occupancy_std,mean_selected_occupancy_ci95_low,mean_selected_occupancy_ci95_high,oracle_equivalent_rate_mean,oracle_equivalent_rate_std,oracle_equivalent_rate_ci95_low,oracle_equivalent_rate_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high
majority,5,0.9480000000000001,0.017888543819998336,0.93232,0.9636800000000001,0.002260357420891523,0.000450374350317078,0.0018655868971400574,0.002655127944642989,0.002260357420891523,0.000450374350317078,0.0018655868971400574,0.002655127944642989,0.8160000000000001,0.01673320053068147,0.8013327030438463,0.8306672969561538,3220.28,40.508655865135864,3184.772597588897,3255.7874024111034
mean,5,1.0,0.0,1.0,1.0,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.984,0.016733200530681527,0.9693327030438461,0.9986672969561539,3220.28,40.508655865135864,3184.772597588897,3255.7874024111034
or,5,1.0,0.0,1.0,1.0,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.984,0.016733200530681527,0.9693327030438461,0.9986672969561539,3220.28,40.508655865135864,3184.772597588897,3255.7874024111034
quality_weighted,5,1.0,0.0,1.0,1.0,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.984,0.016733200530681527,0.9693327030438461,0.9986672969561539,3220.28,40.508655865135864,3184.772597588897,3255.7874024111034
snr_weighted,5,1.0,0.0,1.0,1.0,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.0001034520988469012,0.00011379170342253093,3.709273068617551e-06,0.00020319492462518487,0.984,0.016733200530681527,0.9693327030438461,0.9986672969561539,3220.28,40.508655865135864,3184.772597588897,3255.7874024111034
