visual_source,spectrum_scheme,packet_loss,clean_rate,policy,frames,mean_bits_per_frame,mean_utility,semantic_score,priority_detail_score,mean_visual_semantic_quality,mean_pred_boxes,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio
yolo_predictions,semantic_hard_rep3,0.0,0.923,semantic_only,548,2609.5693430656934,0.8289054895954747,0.47789098665444424,0.0,0.4803756829401379,33.34124087591241,0.0,1.0,0.0,0.0,0.0
yolo_predictions,semantic_hard_rep3,0.0,0.923,spectrum_rule,548,44072.25371223031,1.74531534786491,0.4411312808342363,0.39001374499882513,0.4803756829401379,33.34124087591241,0.0,0.08759124087591241,0.09124087591240876,0.8211678832116789,0.0
yolo_predictions,semantic_hard_rep3,0.0,0.923,dqn,548,46466.49616618036,1.7936001016061072,0.4383390729959389,0.4019906856223016,0.4803756829401379,33.34124087591241,0.0,0.0,0.18795620437956204,0.8120437956204379,0.0
yolo_predictions,semantic_hard_rep3,0.0,0.923,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.4803756829401379,33.34124087591241,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,semantic_only,548,2609.5693430656934,0.802435115799005,0.4629982154109344,0.0,0.4803756829401379,33.34124087591241,0.0,1.0,0.0,0.0,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,spectrum_rule,548,39478.2218086514,1.1079168034074818,0.30404504340031197,0.23594883150290402,0.4803756829401379,33.34124087591241,0.0,0.1386861313868613,0.07116788321167883,0.7901459854014599,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,dqn,548,40693.57950269362,1.1312799134591545,0.2941183855163385,0.24434020004423157,0.4803756829401379,33.34124087591241,0.0,0.06751824817518248,0.11678832116788321,0.8156934306569343,0.0
yolo_predictions,semantic_hard_rep3,0.05,0.931,oracle_policy,548,45888.94862861008,2.307716157727227,0.5806835505509126,0.5046620157703515,0.4803756829401379,33.34124087591241,0.0,0.043795620437956206,0.09671532846715329,0.8594890510948905,0.0
yolo_predictions,semantic_hard_rep3,0.1,0.9308,semantic_only,548,2609.5693430656934,0.7766640170233056,0.4484937824595894,0.0,0.4803756829401379,33.34124087591241,0.0,1.0,0.0,0.0,0.0
yolo_predictions,semantic_hard_rep3,0.1,0.9308,spectrum_rule,548,12182.764897159805,0.8346348748532885,0.38023325237944167,0.07333896352899615,0.4803756829401379,33.34124087591241,0.0,0.6733576642335767,0.05656934306569343,0.27007299270072993,0.0
yolo_predictions,semantic_hard_rep3,0.1,0.9308,dqn,548,12595.226097435905,0.8469820069052285,0.37541771771384624,0.0763269131643401,0.4803756829401379,33.34124087591241,0.0,0.6259124087591241,0.12043795620437957,0.25364963503649635,0.0
yolo_predictions,semantic_hard_rep3,0.1,0.9308,oracle_policy,548,16487.772052829994,1.678627705405511,0.7170939716751942,0.1645562607889959,0.4803756829401379,33.34124087591241,0.0,0.6113138686131386,0.07664233576642336,0.31204379562043794,0.0
yolo_predictions,semantic_hard_rep3,0.2,0.9308,semantic_only,548,2609.5693430656934,0.727312956661669,0.4207029899292697,0.0,0.4803756829401379,33.34124087591241,0.0,1.0,0.0,0.0,0.0
yolo_predictions,semantic_hard_rep3,0.2,0.9308,spectrum_rule,548,2774.992414984068,0.7296071244268826,0.41925909003550504,0.0019782007138393507,0.4803756829401379,33.34124087591241,0.0,0.9872262773722628,0.010948905109489052,0.0018248175182481751,0.0
yolo_predictions,semantic_hard_rep3,0.2,0.9308,dqn,548,3199.8206485657884,0.7357628189553673,0.41370958154377313,0.006408528385368207,0.4803756829401379,33.34124087591241,0.0,0.9434306569343066,0.05474452554744526,0.0018248175182481751,0.0
yolo_predictions,semantic_hard_rep3,0.2,0.9308,oracle_policy,548,5511.692847067728,1.3796184338864699,0.7773738751066854,0.0069871292956083485,0.4803756829401379,33.34124087591241,0.0,0.9781021897810219,0.020072992700729927,0.0018248175182481751,0.0
