bits,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate
1,0.8,0.011454782448709011,0.016936466097831726,0.6
2,0.8,0.011454782448709011,0.016936466097831726,0.6
3,0.76,0.012333836406469345,0.017815520986914635,0.56
4,0.76,0.015888936817646027,0.021370621398091316,0.52
6,0.6,0.029816286638379097,0.03529797121882439,0.44
8,0.56,0.026058940216898918,0.031540628522634506,0.44
