f1,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,ebn0_db,seed,selected_bits
,0.64,0.013572677038609982,0.016210954636335373,0.52,3489.92,0.0025670400000000005,0.66,0.0,3.0,32260711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,3512.88,0.0026739999999999997,0.68,0.0,3.0,32261711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,3719.52,0.00262052,0.68,0.0,3.0,32262711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,3627.68,0.0026739999999999997,0.68,0.0,3.0,32263711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,3535.84,0.00262052,0.7,0.0,3.0,32264711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2341.92,0.00144396,1.0,0.0,6.0,32360711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2318.96,0.0013904800000000001,1.0,0.0,6.0,32361711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2296.0,0.0013369999999999999,1.0,0.0,6.0,32362711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2296.0,0.0013369999999999999,1.0,0.0,6.0,32363711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2341.92,0.00144396,1.0,0.0,6.0,32364711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2296.0,0.0013369999999999999,1.0,0.0,9.0,32460711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2296.0,0.0013369999999999999,1.0,0.0,9.0,32461711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2296.0,0.0013369999999999999,1.0,0.0,9.0,32462711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2296.0,0.0013369999999999999,1.0,0.0,9.0,32463711,1
,0.64,0.013572677038609982,0.016210954636335373,0.52,2296.0,0.0013369999999999999,1.0,0.0,9.0,32464711,1
