scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,channel,ebn0_db
hard_semantic,20260711,100,0.4897959183673469,0.4444444444444444,0.46601941747572817,0.46786319961150485,24,25,30,0.84,0.0023182551376521587,0.004956532269716263,0.8,4366.32,0.00289576,0.71,0.0,awgn,3.0
hard_semantic,20261711,100,0.6129032258064516,0.35185185185185186,0.44705882352941173,0.43466785393263163,19,12,35,0.8,0.003797936486080289,0.006436213850975037,0.72,4639.04,0.0029108799999999994,0.53,0.0,awgn,3.0
hard_semantic,20262711,100,0.5365853658536586,0.4074074074074074,0.4631578947368421,0.46477401527491485,22,19,32,0.84,0.005690118297934532,0.008328395895659924,0.76,4519.2,0.0029159200000000002,0.6,0.0,awgn,3.0
hard_semantic,20263711,100,0.4444444444444444,0.37037037037037035,0.404040404040404,0.46540737301111224,20,25,34,0.84,0.005701287183910608,0.008339565247297287,0.76,4585.84,0.00288064,0.59,0.0,awgn,3.0
hard_semantic,20264711,100,0.5227272727272727,0.42592592592592593,0.46938775510204084,0.46982689525770105,23,21,31,0.88,0.00187880324665457,0.004517080262303352,0.88,4427.92,0.002850399999999999,0.59,0.0,awgn,3.0
hard_semantic,20265711,100,0.5135135135135135,0.35185185185185186,0.4175824175824176,0.4378827935770938,19,18,35,0.8,0.004931080620735884,0.007569357752799988,0.72,4341.12,0.00289072,0.65,0.0,awgn,3.0
hard_semantic,20266711,100,0.6111111111111112,0.4074074074074074,0.4888888888888889,0.4478554942391135,22,14,32,0.88,0.0014633185928687453,0.004101595841348171,0.92,4366.32,0.0028498399999999998,0.57,0.0,awgn,3.0
hard_semantic,20267711,100,0.4791666666666667,0.42592592592592593,0.4509803921568628,0.4696887835212376,23,25,31,0.88,0.0013358687283471227,0.003974145743995905,0.84,4481.12,0.0028907200000000007,0.65,0.0,awgn,3.0
hard_semantic,20268711,100,0.5277777777777778,0.35185185185185186,0.4222222222222222,0.4624547723092531,19,17,35,0.8,0.005627671256661415,0.008265949785709381,0.76,4496.24,0.0028448,0.58,0.0,awgn,3.0
hard_semantic,20269711,100,0.4375,0.25925925925925924,0.3255813953488372,0.4137108325958252,14,18,40,0.76,0.008060130290687084,0.010698406957089901,0.68,4595.92,0.00289072,0.54,0.0,awgn,3.0
compressed_spectrogram_png,20270711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.05998088785031701,1.0,awgn,3.0
compressed_spectrogram_png,20271711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.05382888721083203,1.0,awgn,3.0
compressed_spectrogram_png,20272711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.0560811206590631,1.0,awgn,3.0
compressed_spectrogram_png,20273711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.057805098791369455,1.0,awgn,3.0
compressed_spectrogram_png,20274711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.05631639854890403,1.0,awgn,3.0
compressed_spectrogram_png,20275711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.06150696941141173,1.0,awgn,3.0
compressed_spectrogram_png,20276711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.05505880832266994,1.0,awgn,3.0
compressed_spectrogram_png,20277711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.05671872086803175,1.0,awgn,3.0
compressed_spectrogram_png,20278711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.05530740368757828,1.0,awgn,3.0
compressed_spectrogram_png,20279711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.05667016163637642,1.0,awgn,3.0
hard_semantic,20360711,100,0.47368421052631576,0.6666666666666666,0.5538461538461538,0.4627312223116557,36,40,18,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2762.48,0.00152908,0.99,0.0,awgn,6.0
hard_semantic,20361711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2788.24,0.0016184,1.0,0.0,awgn,6.0
hard_semantic,20362711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2732.24,0.00150892,1.0,0.0,awgn,6.0
hard_semantic,20363711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2732.24,0.00151396,1.0,0.0,awgn,6.0
hard_semantic,20364711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2752.4,0.00152404,1.0,0.0,awgn,6.0
hard_semantic,20365711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,6.0
hard_semantic,20366711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2775.36,0.00157752,1.0,0.0,awgn,6.0
hard_semantic,20367711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2732.24,0.00150388,1.0,0.0,awgn,6.0
hard_semantic,20368711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,6.0
hard_semantic,20369711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2788.24,0.0016209199999999999,1.0,0.0,awgn,6.0
compressed_spectrogram_png,20370711,100,0.5853658536585366,0.4444444444444444,0.5052631578947369,0.47205156708757084,24,17,30,0.96,0.001048141741193831,0.0036864192225039005,0.84,921055.52,0.2458019199999995,0.9802550003143512,0.14,awgn,6.0
compressed_spectrogram_png,20371711,100,0.5471698113207547,0.5370370370370371,0.5420560747663552,0.46904208845105666,29,24,25,0.92,0.0034568659029901028,0.006095143500715494,0.88,921262.16,0.2452108399999995,0.9799081081525616,0.15,awgn,6.0
compressed_spectrogram_png,20372711,100,0.5897435897435898,0.42592592592592593,0.49462365591397855,0.4629248069680255,23,16,31,0.92,0.0016175290802493691,0.004255807027220726,0.84,922066.88,0.24488883999999955,0.9790387011020998,0.15,awgn,6.0
compressed_spectrogram_png,20373711,100,0.5348837209302325,0.42592592592592593,0.4742268041237113,0.4684565650380176,23,20,31,0.84,0.005984708201140165,0.00862298533320427,0.76,920561.6,0.24482779999999957,0.9798292727025423,0.16,awgn,6.0
compressed_spectrogram_png,20374711,100,0.54,0.5,0.5192307692307693,0.4589241787239357,27,23,27,0.88,0.003986838273704052,0.006625115871429443,0.76,920711.12,0.2450503999999995,0.979801629514833,0.14,awgn,6.0
compressed_spectrogram_png,20375711,100,0.5869565217391305,0.5,0.54,0.4597298249050423,27,19,27,0.92,0.0013686174061149359,0.004006894771009684,0.84,919229.92,0.2451626799999995,0.9794900221745073,0.15,awgn,6.0
compressed_spectrogram_png,20376711,100,0.5306122448979592,0.48148148148148145,0.5048543689320388,0.47034477843688083,26,23,28,0.88,0.00464255316182971,0.007280830759555101,0.84,920916.64,0.24498599999999954,0.9806807521792814,0.14,awgn,6.0
compressed_spectrogram_png,20377711,100,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.45880329857269925,24,21,30,0.92,0.0015883247833698988,0.0042266021482646465,0.88,922308.8,0.24485075999999953,0.9797440707156417,0.15,awgn,6.0
compressed_spectrogram_png,20378711,100,0.54,0.5,0.5192307692307693,0.4673169100726092,27,23,27,0.96,0.0008069031173363328,0.0034451805986464024,0.88,920491.6,0.24473819999999954,0.979935887273211,0.13,awgn,6.0
compressed_spectrogram_png,20379711,100,0.56,0.5185185185185185,0.5384615384615384,0.471644289791584,28,22,26,0.92,0.0019126847619190812,0.004550962243229151,0.84,918929.2,0.24449515999999952,0.9797200451163528,0.14,awgn,6.0
hard_semantic,20460711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20461711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20462711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20463711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20464711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20465711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20466711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20467711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20468711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
hard_semantic,20469711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,awgn,9.0
compressed_spectrogram_png,20470711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20471711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20472711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894830.72,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20473711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20474711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20475711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20476711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20477711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20478711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
compressed_spectrogram_png,20479711,100,0.5166666666666667,0.5740740740740741,0.543859649122807,0.4669050468552497,31,29,23,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,894751.2,0.23961615999999952,0.9843537239420425,0.11,awgn,9.0
hard_semantic,21260711,100,0.4473684210526316,0.3148148148148148,0.3695652173913044,0.4459822072702296,17,21,37,0.92,0.00379241444170475,0.006430691573768854,0.84,4494.0,0.0028221199999999996,0.54,0.0,rayleigh,3.0
hard_semantic,21261711,100,0.5135135135135135,0.35185185185185186,0.4175824175824176,0.45968867603101227,19,18,35,0.84,0.003572622314095497,0.0062108999118208885,0.8,4539.92,0.00289072,0.57,0.0,rayleigh,3.0
hard_semantic,21262711,100,0.4583333333333333,0.4074074074074074,0.4313725490196078,0.4736126119440252,22,26,32,0.92,0.0006904276669956744,0.0033287047408521175,0.88,4552.8,0.0028196,0.53,0.0,rayleigh,3.0
hard_semantic,21263711,100,0.5675675675675675,0.3888888888888889,0.46153846153846156,0.4515817846570696,21,16,33,0.84,0.00370008940808475,0.006338366772979498,0.68,4410.0,0.00289576,0.55,0.0,rayleigh,3.0
hard_semantic,21264711,100,0.4375,0.3888888888888889,0.411764705882353,0.4883730709552765,21,27,33,0.84,0.0033354556653648615,0.005973733030259609,0.68,4494.0,0.0028907199999999994,0.57,0.0,rayleigh,3.0
hard_semantic,21265711,100,0.36363636363636365,0.2962962962962963,0.32653061224489793,0.4467422738671303,16,28,38,0.84,0.002616620622575283,0.0052548982203006744,0.76,4802.56,0.00286552,0.56,0.0,rayleigh,3.0
hard_semantic,21266711,100,0.48,0.4444444444444444,0.4615384615384615,0.4742873137195905,24,26,30,0.84,0.004280863329768181,0.006919140927493572,0.8,4448.08,0.00289576,0.6,0.0,rayleigh,3.0
hard_semantic,21267711,100,0.4153846153846154,0.5,0.453781512605042,0.47761064767837524,27,38,27,0.92,0.0039899758994579315,0.006628253497183323,0.88,4283.44,0.00282016,0.63,0.0,rayleigh,3.0
hard_semantic,21268711,100,0.43902439024390244,0.3333333333333333,0.37894736842105264,0.5176458954811096,18,23,36,0.8,0.006352967116981745,0.008991244249045849,0.72,4496.24,0.00289576,0.57,0.0,rayleigh,3.0
hard_semantic,21269711,100,0.43478260869565216,0.37037037037037035,0.39999999999999997,0.4801627993583679,20,26,34,0.96,0.0011158878915011883,0.003754165256395936,0.84,4624.48,0.0028503999999999995,0.5,0.0,rayleigh,3.0
compressed_spectrogram_png,21270711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.2837508995239298,1.0,rayleigh,3.0
compressed_spectrogram_png,21271711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.2728551390002568,1.0,rayleigh,3.0
compressed_spectrogram_png,21272711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.2829307946555771,1.0,rayleigh,3.0
compressed_spectrogram_png,21273711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.28422068880012086,1.0,rayleigh,3.0
compressed_spectrogram_png,21274711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.287020036127614,1.0,rayleigh,3.0
compressed_spectrogram_png,21275711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.2876835823771351,1.0,rayleigh,3.0
compressed_spectrogram_png,21276711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.2813645379689471,1.0,rayleigh,3.0
compressed_spectrogram_png,21277711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.28721434705503684,1.0,rayleigh,3.0
compressed_spectrogram_png,21278711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.27777733661783155,1.0,rayleigh,3.0
compressed_spectrogram_png,21279711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.28263101916779415,1.0,rayleigh,3.0
hard_semantic,21360711,100,0.45161290322580644,0.5185185185185185,0.48275862068965514,0.4602245220116207,28,34,26,0.92,0.0012132063275203109,0.0038514838088303804,0.88,3829.28,0.0027383999999999998,0.83,0.0,rayleigh,6.0
hard_semantic,21361711,100,0.4307692307692308,0.5185185185185185,0.47058823529411764,0.44581415929964613,28,37,26,0.92,0.0006931158131919801,0.003331393003463745,0.92,3837.12,0.0027944,0.82,0.0,rayleigh,6.0
hard_semantic,21362711,100,0.42857142857142855,0.5555555555555556,0.48387096774193544,0.4616182913382848,30,40,24,0.96,0.00025286347954533994,0.0028911405242979527,0.88,3822.56,0.00269808,0.82,0.0,rayleigh,6.0
hard_semantic,21363711,100,0.4057971014492754,0.5185185185185185,0.45528455284552843,0.4668520784803799,28,41,26,0.88,0.0016174087068066,0.004255686420947313,0.88,3911.04,0.00278684,0.8,0.0,rayleigh,6.0
hard_semantic,21364711,100,0.48333333333333334,0.5370370370370371,0.5087719298245614,0.46673857651907824,29,31,25,0.92,0.0008072617929428816,0.0034455389250069857,0.92,4030.88,0.0027918800000000005,0.79,0.0,rayleigh,6.0
hard_semantic,21365711,100,0.4492753623188406,0.5740740740740741,0.5040650406504064,0.4643356578965341,31,38,23,0.88,0.001866320613771677,0.004504598211497068,0.88,3778.88,0.0027005999999999996,0.8,0.0,rayleigh,6.0
hard_semantic,21366711,100,0.5,0.5740740740740741,0.5344827586206897,0.4752121884976664,31,31,23,0.92,0.0009604980004951358,0.0035987752489745617,0.92,3867.36,0.00274848,0.83,0.0,rayleigh,6.0
hard_semantic,21367711,100,0.4411764705882353,0.5555555555555556,0.49180327868852464,0.46125147442022957,30,38,24,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,3707.2,0.0026062399999999997,0.86,0.0,rayleigh,6.0
hard_semantic,21368711,100,0.4909090909090909,0.5,0.4954128440366972,0.43697701008231554,27,28,27,0.96,0.00038179964758455753,0.0030200767796486616,0.88,3905.44,0.00277368,0.78,0.0,rayleigh,6.0
hard_semantic,21369711,100,0.47692307692307695,0.5740740740740741,0.5210084033613446,0.47404857797007405,31,34,23,0.92,0.0006931158131919801,0.003331393003463745,0.92,3730.16,0.00259868,0.81,0.0,rayleigh,6.0
compressed_spectrogram_png,21370711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.543093227930633,1.0,rayleigh,6.0
compressed_spectrogram_png,21371711,100,0.0,0.0,0.0,0.0,0,0,54,0.64,0.013572677038609982,0.016210954636335373,0.52,970144.0,0.2493679999999995,0.5506705004706347,1.0,rayleigh,6.0
