scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,channel,ebn0_db,latency_budget_s
spectrogram_uint8_fragment,25480711,100,0.015202702702702704,0.16666666666666666,0.027863777089783284,0.4370873702896966,9,583,45,0.6,0.017134536057710648,0.019772812724113464,0.44,381696.0,0.09811200000000003,0.36359375,1.0,awgn,6.0,0.1
spectrogram_uint8_fragment,25481711,100,0.015254237288135594,0.16666666666666666,0.02795031055900621,0.43427711062961155,9,581,45,0.6,0.017134536057710648,0.019772812724113464,0.44,381696.0,0.09811200000000003,0.36421875,1.0,awgn,6.0,0.1
spectrogram_uint8_fragment,25482711,100,0.015437392795883362,0.16666666666666666,0.0282574568288854,0.43427711062961155,9,574,45,0.6,0.017134536057710648,0.019772812724113464,0.44,381696.0,0.09811200000000003,0.36203125,1.0,awgn,6.0,0.1
hard_semantic,25560711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2793.28,0.00162344,1.0,0.0,awgn,6.0,0.25
hard_semantic,25561711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2775.36,0.001575,1.0,0.0,awgn,6.0,0.25
hard_semantic,25562711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2770.32,0.001575,1.0,0.0,awgn,6.0,0.25
compressed_spectrogram_png,25570711,100,0.5714285714285714,0.5185185185185185,0.5436893203883496,0.4611721272979464,28,21,26,0.92,0.0009420276619493961,0.003580305026844144,0.92,921465.44,0.2454107599999995,0.9799833455192405,0.12,awgn,6.0,0.25
compressed_spectrogram_png,25571711,100,0.58,0.5370370370370371,0.5576923076923077,0.46715767938515235,29,21,25,0.88,0.004077327437698841,0.0067156050354242325,0.8,920886.96,0.24501595999999953,0.9791382104378967,0.16,awgn,6.0,0.25
compressed_spectrogram_png,25572711,100,0.5531914893617021,0.48148148148148145,0.5148514851485149,0.4597468158373466,26,21,28,0.92,0.0020869318395853043,0.004725209437310696,0.84,919586.08,0.2439631599999995,0.9790810747340342,0.15,awgn,6.0,0.25
spectrogram_uint8_fragment,25580711,100,0.3977272727272727,0.6481481481481481,0.49295774647887325,0.4422322290284293,35,53,19,0.96,0.0,0.0026382773648947477,1.0,970144.0,0.2493679999999995,0.920234375,1.0,awgn,6.0,0.25
spectrogram_uint8_fragment,25581711,100,0.42045454545454547,0.6851851851851852,0.5211267605633803,0.4486020787342175,37,51,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,970144.0,0.2493679999999995,0.922109375,1.0,awgn,6.0,0.25
spectrogram_uint8_fragment,25582711,100,0.4,0.6666666666666666,0.5,0.4422604805893368,36,54,18,0.96,0.0,0.0026382773648947477,1.0,970144.0,0.2493679999999995,0.92046875,1.0,awgn,6.0,0.25
