channel,ebn0_db,scheme,repeat_count,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high,mean_link_latency_s_mean,mean_link_latency_s_std,mean_link_latency_s_ci95_low,mean_link_latency_s_ci95_high,mean_payload_delivery_ratio_mean,mean_payload_delivery_ratio_std,mean_payload_delivery_ratio_ci95_low,mean_payload_delivery_ratio_ci95_high,latency_budget_exhaustion_rate_mean,latency_budget_exhaustion_rate_std,latency_budget_exhaustion_rate_ci95_low,latency_budget_exhaustion_rate_ci95_high
awgn,3.0,compressed_spectrogram_png,10,0.0,0.0,0.0,0.0,0.6399999999999999,1.1702778228589004e-16,0.6399999999999998,0.64,0.013572677038609982,0.0,0.013572677038609982,0.013572677038609982,970144.0,0.0,970144.0,970144.0,0.2493679999999995,0.0,0.2493679999999995,0.2493679999999995,0.05692744569865536,0.0023089832697271917,0.05549632304118944,0.058358568356121285,1.0,0.0,1.0,1.0
awgn,3.0,hard_semantic,10,0.4354919611083655,0.04671133654009861,0.4065399747689628,0.46444394744776824,0.8320000000000001,0.041311822359545766,0.8063946672221066,0.8576053327778935,0.004080446984153241,0.0022751791796584786,0.002670276318781253,0.005490617649525229,4481.904,105.16913311423662,4416.719495963461,4547.08850403654,0.0028820399999999998,2.543089284927126e-05,0.002866277769310264,0.0028978022306897356,0.601,0.05486346689738081,0.566995270917121,0.635004729082879,0.0,0.0,0.0,0.0
awgn,6.0,compressed_spectrogram_png,10,0.5122795623402383,0.023696621102001957,0.49759224441590055,0.526966880264576,0.9119999999999999,0.03675746333890726,0.8892174881884274,0.9347825118115725,0.002641316642984748,0.001759723577288075,0.0015506286699049337,0.003732004616064562,920753.3439999999,1068.5956722852177,920091.0215404448,921415.666459555,0.24500125999999955,0.0003503012809948871,0.24478414101661672,0.2452183789833824,0.9798403489245381,0.0004323918918023313,0.9795723496534408,0.9801083481956354,0.14500000000000002,0.00849836585598797,0.13973265827111164,0.1502673417288884
awgn,6.0,hard_semantic,10,0.5450904977375565,0.0030764239680371,0.5431837104072398,0.5469972850678732,0.9600000000000002,2.340555645717801e-16,0.9600000000000001,0.9600000000000003,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,2748.2,29.738349352682945,2729.7679801095783,2766.6320198904214,0.0015317679999999998,5.714915160252943e-05,0.0014963465888595897,0.0015671894111404098,0.999,0.003162277660168382,0.99704,1.00096,0.0,0.0,0.0,0.0
awgn,9.0,compressed_spectrogram_png,10,0.5438596491228072,1.1702778228589004e-16,0.543859649122807,0.5438596491228073,0.9600000000000002,2.340555645717801e-16,0.9600000000000001,0.9600000000000003,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,894759.152,25.14643195366484,894743.56608,894774.73792,0.23961615999999958,5.851389114294502e-17,0.23961615999999955,0.2396161599999996,0.9843537239420425,0.0,0.9843537239420425,0.9843537239420425,0.11000000000000001,1.4628472785736255e-17,0.11,0.11000000000000003
awgn,9.0,hard_semantic,10,0.5441176470588235,0.0,0.5441176470588235,0.5441176470588235,0.9600000000000002,2.340555645717801e-16,0.9600000000000001,0.9600000000000003,5.1495804655132815e-05,0.0,5.1495804655132815e-05,5.1495804655132815e-05,2709.2799999999997,4.793457962430056e-13,2709.2799999999993,2709.28,0.00146048,0.0,0.00146048,0.00146048,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rayleigh,3.0,compressed_spectrogram_png,10,0.0,0.0,0.0,0.0,0.6399999999999999,1.1702778228589004e-16,0.6399999999999998,0.64,0.013572677038609982,0.0,0.013572677038609982,0.013572677038609982,970144.0,0.0,970144.0,970144.0,0.2493679999999995,0.0,0.2493679999999995,0.2493679999999995,0.2827448381294243,0.004597950034618722,0.2798949991727234,0.2855946770861252,1.0,0.0,1.0,1.0
rayleigh,3.0,hard_semantic,10,0.41126213062235983,0.04396600518083669,0.38401171828827924,0.43851254295644043,0.8719999999999999,0.052662447088350675,0.8393594771283709,0.9046405228716289,0.0033447324356529863,0.001607762499986531,0.0023482309140864677,0.004341233957219505,4514.552000000001,136.25210333136977,4430.102071426914,4599.001928573087,0.0028646519999999997,3.380379492174083e-05,0.0028437001908400523,0.002885603809159947,0.562,0.036147844564602544,0.5395953338193432,0.5844046661806569,0.0,0.0,0.0,0.0
rayleigh,6.0,compressed_spectrogram_png,10,0.0,0.0,0.0,0.0,0.6399999999999999,1.1702778228589004e-16,0.6399999999999998,0.64,0.013572677038609982,0.0,0.013572677038609982,0.013572677038609982,970144.0,0.0,970144.0,970144.0,0.2493679999999995,0.0,0.2493679999999995,0.2493679999999995,0.5481378219048163,0.004638275962276061,0.5452629886792048,0.5510126551304279,1.0,0.0,1.0,1.0
rayleigh,6.0,hard_semantic,10,0.4948046631753461,0.023485531987301835,0.48024817963978567,0.5093611467109065,0.924,0.029514591494904856,0.9057066666666668,0.9422933333333333,0.0008537085999705596,0.0005802546581857061,0.0004940630367838573,0.0012133541631572618,3841.9919999999997,94.47917169643506,3783.433202694657,3900.5507973053423,0.002723728,7.270842787768461e-05,0.002678662849512021,0.0027687931504879787,0.8140000000000001,0.023190036174568086,0.7996266666666667,0.8283733333333334,0.0,0.0,0.0,0.0
rayleigh,9.0,compressed_spectrogram_png,10,0.0,0.0,0.0,0.0,0.6399999999999999,1.1702778228589004e-16,0.6399999999999998,0.64,0.013572677038609982,0.0,0.013572677038609982,0.013572677038609982,970144.0,0.0,970144.0,970144.0,0.2493679999999995,0.0,0.2493679999999995,0.2493679999999995,0.7632336694576308,0.002914884001294225,0.761427005636013,0.7650403332792487,1.0,0.0,1.0,1.0
