epoch,train_loss,validation_loss
1,0.22136585414409637,0.21654975414276123
2,0.21727024018764496,0.21254704892635345
3,0.213237926363945,0.20858824253082275
4,0.20925340056419373,0.20462097227573395
5,0.2052609771490097,0.20057761669158936
6,0.201192244887352,0.19634689390659332
7,0.19693216681480408,0.1920616328716278
8,0.1926119476556778,0.18773207068443298
9,0.18824690580368042,0.1831795871257782
10,0.1836579293012619,0.17843957245349884
11,0.17887826263904572,0.1736316829919815
12,0.1740262359380722,0.1682838648557663
13,0.16861221194267273,0.16243979334831238
14,0.16270877420902252,0.15610037744045258
15,0.15630893409252167,0.1492656022310257
16,0.14940859377384186,0.14183978736400604
17,0.14189675450325012,0.13382303714752197
18,0.13379932940006256,0.12516996264457703
19,0.12505175173282623,0.11598207801580429
20,0.11577515304088593,0.1063954159617424
21,0.1060943752527237,0.09644042700529099
22,0.09604290872812271,0.08633393049240112
23,0.0858394131064415,0.07626459747552872
24,0.07567454874515533,0.06644050776958466
25,0.06575797498226166,0.05709013715386391
26,0.05632013455033302,0.048437051475048065
27,0.04758694767951965,0.0406794436275959
28,0.03975788503885269,0.03396419808268547
29,0.03298040106892586,0.02836677059531212
30,0.0273297019302845,0.023882392793893814
31,0.022800151258707047,0.020432066172361374
32,0.01931154727935791,0.017881033942103386
33,0.016727818176150322,0.016065984964370728
34,0.014884660951793194,0.014820331707596779
35,0.013614332303404808,0.013995081186294556
36,0.01276753842830658,0.013467014767229557
37,0.012220585718750954,0.013141725212335587
38,0.011878806166350842,0.01295060757547617
39,0.011673364788293839,0.012845861725509167
40,0.011556234210729599,0.01279529370367527
41,0.011495022103190422,0.012777743861079216
42,0.011468364857137203,0.012779603712260723
43,0.011462449096143246,0.012792279943823814
44,0.011468499898910522,0.012810451909899712
45,0.011481025256216526,0.012830889783799648
46,0.0114966481924057,0.012851688079535961
47,0.011513338424265385,0.012871772982180119
48,0.01152990572154522,0.012890571728348732
49,0.011545691639184952,0.012907827273011208
50,0.011560358107089996,0.012923464179039001
51,0.011573760770261288,0.012937512248754501
52,0.01158587820827961,0.012950056232511997
53,0.011596753261983395,0.012961208820343018
54,0.011606456711888313,0.012971094809472561
55,0.011615078896284103,0.012979836203157902
56,0.011622719466686249,0.012987551279366016
57,0.011629472486674786,0.012994347140192986
58,0.011635422706604004,0.013000322505831718
59,0.011640659533441067,0.013005567714571953
60,0.011645255610346794,0.013010160997509956
61,0.011649277061223984,0.013014172203838825
62,0.011652788147330284,0.013017664663493633
63,0.011655837297439575,0.013020696118474007
64,0.011658478528261185,0.013023313134908676
65,0.01166075374931097,0.0130255576223135
66,0.011662696488201618,0.013027471490204334
67,0.011664343997836113,0.013029085472226143
68,0.011665726080536842,0.013030431233346462
69,0.011666868813335896,0.013031535781919956
70,0.011667793616652489,0.013032420538365841
71,0.011668522842228413,0.013033109717071056
72,0.01166907511651516,0.013033619150519371
73,0.011669469065964222,0.013033968396484852
74,0.011669715866446495,0.013034168630838394
75,0.011669829487800598,0.013034235686063766
76,0.01166982389986515,0.013034180738031864
77,0.011669708415865898,0.013034013099968433
78,0.011669492349028587,0.013033746741712093
79,0.011669183149933815,0.013033386319875717
80,0.011668790131807327,0.013032940216362476
81,0.011668318882584572,0.013032414019107819
82,0.011667774990200996,0.01303181704133749
83,0.011667166836559772,0.01303115114569664
84,0.01166649628430605,0.013030423782765865
85,0.01166576985269785,0.013029640540480614
86,0.011664988473057747,0.01302880235016346
87,0.011664158664643764,0.013027913868427277
88,0.011663283221423626,0.013026978820562363
89,0.011662362143397331,0.013026000000536442
90,0.011661402881145477,0.013024980202317238
91,0.01166040264070034,0.013023920357227325
92,0.011659367009997368,0.013022825121879578
93,0.01165829785168171,0.013021694496273994
94,0.01165719423443079,0.0130205312743783
95,0.011656060814857483,0.013019334524869919
96,0.011654896661639214,0.01301810797303915
97,0.011653702706098557,0.013016853481531143
98,0.01165248267352581,0.013015570119023323
99,0.011651232838630676,0.013014259748160839
100,0.011649958789348602,0.013012923300266266
101,0.011648659594357014,0.013011561706662178
102,0.011647334322333336,0.013010176829993725
103,0.011645987629890442,0.013008764013648033
104,0.011644614860415459,0.013007329776883125
105,0.011643219739198685,0.013005875051021576
106,0.011641803197562695,0.013004395179450512
107,0.011640362441539764,0.013002892956137657
108,0.011638900265097618,0.01300137024372816
109,0.01163741759955883,0.012999826110899448
110,0.011635914444923401,0.01299826055765152
111,0.011634388007223606,0.012996673583984375
112,0.01163284108042717,0.012995067983865738
113,0.011631272733211517,0.01299344003200531
114,0.011629683896899223,0.01299179345369339
115,0.011628076434135437,0.012990125454962254
116,0.01162644661962986,0.01298843789845705
117,0.011624796316027641,0.01298673078417778
118,0.011623128317296505,0.012985003180801868
119,0.011621437966823578,0.012983258813619614
120,0.011619726195931435,0.012981492094695568
121,0.011617997661232948,0.01297970861196518
122,0.01161624863743782,0.01297790464013815
123,0.011614478193223476,0.012976082973182201
124,0.01161269098520279,0.012974242679774761
125,0.011610882356762886,0.012972382828593254
126,0.011609054170548916,0.01297050528228283
127,0.011607206426560879,0.012968609109520912
128,0.011605341918766499,0.012966696172952652
129,0.011603455059230328,0.0129647646099329
130,0.011601552367210388,0.012962817214429379
131,0.011599627323448658,0.01296085026115179
132,0.011597685515880585,0.012958865612745285
133,0.01159572508186102,0.012956866063177586
134,0.011593746021389961,0.012954848818480968
135,0.011591749265789986,0.012952813878655434
136,0.011589734815061092,0.01295076496899128
137,0.011587701737880707,0.012948699295520782
138,0.011585651896893978,0.012946618720889091
