policy,repeat_count,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,oracle_equivalent_rate_mean,oracle_equivalent_rate_std,oracle_equivalent_rate_ci95_low,oracle_equivalent_rate_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high,mean_scheduler_feedback_bits_mean,mean_scheduler_feedback_bits_std,mean_scheduler_feedback_bits_ci95_low,mean_scheduler_feedback_bits_ci95_high,mean_decision_link_latency_s_mean,mean_decision_link_latency_s_std,mean_decision_link_latency_s_ci95_low,mean_decision_link_latency_s_ci95_high,mean_reference_rf_energy_j_mean,mean_reference_rf_energy_j_std,mean_reference_rf_energy_j_ci95_low,mean_reference_rf_energy_j_ci95_high,mean_attempted_nodes_mean,mean_attempted_nodes_std,mean_attempted_nodes_ci95_low,mean_attempted_nodes_ci95_high,mean_delivered_reports_mean,mean_delivered_reports_std,mean_delivered_reports_ci95_low,mean_delivered_reports_ci95_high,mean_fallback_rounds_mean,mean_fallback_rounds_std,mean_fallback_rounds_ci95_low,mean_fallback_rounds_ci95_high
best_single,20,0.8000000000000002,1.1390647892519134e-16,0.8000000000000002,0.8000000000000002,1.0,0.0,1.0,1.0,0.888888888888889,0.0,0.888888888888889,0.888888888888889,0.09480765461921692,0.0,0.09480765461921692,0.09480765461921692,1.0,0.0,1.0,1.0,0.002999756019562483,0.0,0.002999756019562483,0.002999756019562483,0.0,0.0,0.0,0.0,630.0,0.0,630.0,630.0,0.0,0.0,0.0,0.0,0.0013649999999999995,4.449471833015287e-19,0.0013649999999999992,0.0013649999999999997,0.000315,5.561839791269109e-20,0.000315,0.000315,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
full_mean,20,0.625,0.22213082915965965,0.5276468717557192,0.7223531282442808,0.5,0.0,0.5,0.5,0.5416666666666666,0.07404360971988652,0.5092156239185731,0.5741177094147601,0.184800922870636,0.016322942404802306,0.17764707794388543,0.19195476779738654,1.0,0.0,1.0,1.0,0.002999756019562483,0.0,0.002999756019562483,0.002999756019562483,0.0,0.0,0.0,0.0,2803.5,226.22822663477646,2704.3511081358206,2902.6488918641794,0.0,0.0,0.0,0.0,0.0019792499999999997,0.0004901611577086823,0.0017644274009609444,0.002194072599039055,0.0014017499999999998,0.00011311411331738823,0.0013521755540679102,0.0014513244459320894,4.0,0.0,4.0,4.0,3.75,0.30348848933344197,3.616990305062494,3.883009694937506,0.0,0.0,0.0,0.0
full_snr_weighted,20,0.7499999999999999,0.1480872194397731,0.6850979145038127,0.814902085496187,1.0,0.0,1.0,1.0,0.8500000000000002,0.08885233166386383,0.8110587487022879,0.8889412512977125,0.1124058235436678,0.016972906459893092,0.1049671193101348,0.11984452777720078,1.0,0.0,1.0,1.0,0.002999756019562483,0.0,0.002999756019562483,0.002999756019562483,0.0,0.0,0.0,0.0,2803.5,226.22822663477646,2704.3511081358206,2902.6488918641794,0.0,0.0,0.0,0.0,0.0019792499999999997,0.0004901611577086823,0.0017644274009609444,0.002194072599039055,0.0014017499999999998,0.00011311411331738823,0.0013521755540679102,0.0014513244459320894,4.0,0.0,4.0,4.0,3.75,0.30348848933344197,3.616990305062494,3.883009694937506,0.0,0.0,0.0,0.0
full_robust_quality,20,0.6874999999999998,0.03702180485994329,0.671274478625953,0.7037255213740465,0.5625,0.11106541457982982,0.5138234358778596,0.6111765641221404,0.6160714285714286,0.07933243898559268,0.5813024541984713,0.6508404029443859,0.13799790292978287,0.0059525082861472765,0.13538910114954947,0.14060670471001627,1.0,0.0,1.0,1.0,0.002999756019562483,0.0,0.002999756019562483,0.002999756019562483,0.0,0.0,0.0,0.0,2803.5,226.22822663477646,2704.3511081358206,2902.6488918641794,0.0,0.0,0.0,0.0,0.0019792499999999997,0.0004901611577086823,0.0017644274009609444,0.002194072599039055,0.0014017499999999998,0.00011311411331738823,0.0013521755540679102,0.0014513244459320894,4.0,0.0,4.0,4.0,3.75,0.30348848933344197,3.616990305062494,3.883009694937506,0.0,0.0,0.0,0.0
proposed_adaptive_value_bit,20,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.12329204380512238,0.0,0.12329204380512238,0.12329204380512238,1.0,0.0,1.0,1.0,0.002999756019562483,0.0,0.002999756019562483,0.002999756019562483,0.0,0.0,0.0,0.0,1890.0,0.0,1890.0,1890.0,96.0,0.0,96.0,96.0,0.00405,0.0,0.00405,0.00405,0.0009450000000000002,3.3371038747614654e-19,0.0009450000000000001,0.0009450000000000003,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0
