method,repeat_count,clean_resource_rate_mean,clean_resource_rate_std,clean_resource_rate_ci95_low,clean_resource_rate_ci95_high,mean_occupancy_regret_mean,mean_occupancy_regret_std,mean_occupancy_regret_ci95_low,mean_occupancy_regret_ci95_high,mean_selected_occupancy_mean,mean_selected_occupancy_std,mean_selected_occupancy_ci95_low,mean_selected_occupancy_ci95_high,oracle_equivalent_rate_mean,oracle_equivalent_rate_std,oracle_equivalent_rate_ci95_low,oracle_equivalent_rate_ci95_high,mean_transmitted_bits_mean,mean_transmitted_bits_std,mean_transmitted_bits_ci95_low,mean_transmitted_bits_ci95_high
majority,5,0.672,0.017888543819998288,0.65632,0.6876800000000001,0.013704783841967582,0.0008189612050418584,0.012986932695207357,0.014422634988727808,0.017234331741929055,0.0008189610965748753,0.01651648069024433,0.01795218279361378,0.496,0.016733200530681527,0.4813327030438461,0.5106672969561539,3298.904,40.55623848435665,3263.354889584216,3334.453110415784
mean,5,0.828,0.022803508501982747,0.8080118435067163,0.8479881564932836,0.006226569041609764,0.0016523232245970172,0.004778243877617536,0.007674894205601992,0.009756117220968008,0.0016523235957878898,0.008307791731612633,0.011204442710323382,0.6960000000000001,0.04098780306383837,0.6600726065515463,0.7319273934484538,3298.904,40.55623848435665,3263.354889584216,3334.453110415784
or,5,0.828,0.022803508501982747,0.8080118435067163,0.8479881564932836,0.006241531763225794,0.001644442316584204,0.004800114519681666,0.007682949006769922,0.009771079663187266,0.0016444428413026054,0.00832966195970718,0.011212497366667351,0.692,0.04381780460041326,0.6535920008331597,0.7304079991668402,3298.904,40.55623848435665,3263.354889584216,3334.453110415784
quality_weighted,5,0.8320000000000001,0.026832815729997468,0.8084800000000001,0.8555200000000001,0.006033239606767893,0.0016661509454037632,0.004572793911086137,0.007493685302449649,0.009562787692993879,0.0016661512830863224,0.00810234170132031,0.011023233684667448,0.704,0.03577708763999661,0.67264,0.7353599999999999,3298.904,40.55623848435665,3263.354889584216,3334.453110415784
snr_weighted,5,0.8320000000000001,0.026832815729997468,0.8084800000000001,0.8555200000000001,0.006084947381168604,0.0017569760459009746,0.004544889974767043,0.007625004787570165,0.00961449546739459,0.00175697638668398,0.008074437762283556,0.011154553172505625,0.7,0.03999999999999998,0.6649384541128033,0.7350615458871966,3298.904,40.55623848435665,3263.354889584216,3334.453110415784
