snr_db,n_frames,precision,recall,f1,mean_iou,tp,fp,fn,mean_semantic_bits_per_frame,mean_raw_spectrogram_8bit_bits_per_frame,mean_raw_iq_12bit_bits_per_frame
-20.0,181,0.7238095238095238,0.76,0.7414634146341463,0.5530839770248062,76,29,24,250.76795580110496,131072.0,24000000.0
-12.0,163,0.5747126436781609,0.6097560975609756,0.5917159763313609,0.554813169836998,50,37,32,247.42944785276075,131072.0,24000000.0
-4.0,141,0.5176470588235295,0.5714285714285714,0.5432098765432098,0.47951983592726966,44,41,33,252.40425531914894,131072.0,24000000.0
4.0,172,0.4375,0.6049382716049383,0.5077720207253886,0.42804776101696246,49,63,32,255.88372093023256,131072.0,24000000.0
12.0,167,0.27586206896551724,0.4819277108433735,0.3508771929824561,0.4490320056676865,40,105,43,271.5149700598802,131072.0,24000000.0
20.0,176,0.31683168316831684,0.6881720430107527,0.43389830508474575,0.5118178930133581,64,138,29,291.6363636363636,131072.0,24000000.0
