spectrum_scheme,packet_loss,ber,frames,clean_rate,priority_frame_ratio,mean_full_jpeg_bits,mean_semantic_only_bits,mean_adaptive_bits,adaptive_vs_full_jpeg_ratio,semantic_only_vs_full_jpeg_ratio,priority_detail_rate,priority_detail_per_mbit,semantic_success_rate
fixed_ch0,0.2,0.0001,548,0.7005999999999999,0.9452554744525548,1185557.2554744526,5305.6277372262775,122652.07103517662,9.666019052661857,223.45277772809757,0.7258687258687259,5.918112264574373,1.0
iq12_gate,0.2,0.0001,548,0.6974,0.9452554744525548,1185557.2554744526,5305.6277372262775,113632.43648403097,10.433264410739461,223.45277772809757,0.694980694980695,6.1160414797438785,1.0
random,0.2,0.0001,548,0.6961999999999999,0.9452554744525548,1185557.2554744526,5305.6277372262775,114271.92753526932,10.374877549068538,223.45277772809757,0.693050193050193,6.0649208252506925,1.0
semantic_hard,0.2,0.0001,548,0.8846,0.9452554744525548,1185557.2554744526,5305.6277372262775,149072.82628093567,7.952873002086959,223.45277772809757,0.9015444015444015,6.047677662227945,1.0
semantic_hard_rep3,0.2,0.0001,548,0.9314,0.9452554744525548,1185557.2554744526,5305.6277372262775,152934.9193084325,7.752037669588542,223.45277772809757,0.9420849420849421,6.160038180587039,1.0
semantic_soft,0.2,0.0001,548,0.8854000000000001,0.9452554744525548,1185557.2554744526,5305.6277372262775,150150.00384970565,7.895819014837652,223.45277772809757,0.9131274131274131,6.081434496940928,1.0
semantic_soft_rep3,0.2,0.0001,548,0.9316000000000001,0.9452554744525548,1185557.2554744526,5305.6277372262775,149778.1359311964,7.915422689056982,223.45277772809757,0.9305019305019305,6.212535125483037,1.0
spectrogram8_gate,0.2,0.0001,548,0.7019999999999998,0.9452554744525548,1185557.2554744526,5305.6277372262775,118991.25115315466,9.963398518673543,223.45277772809757,0.7374517374517374,6.197529064574311,1.0
