spectrum_scheme,packet_loss,ber,clean_rate,policy,mean_bits_per_frame,mean_expected_task,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,failed_transmission_rate,detail_per_mbit,priority_detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio
semantic_hard_rep3,0.05,0.0001,0.931,roi_always,161836.55341163708,1.075733188437207,1.0563128020278107,0.2577185963990204,0.2577185963990204,0.24146197319549967,0.7445255474452555,1.5924622155262038,1.4920113417228584,0.0,0.0,1.0,0.0,0.0
semantic_hard_rep3,0.05,0.0001,0.931,lowres_always,52727.91795620439,2.288797486479018,2.2824701363242736,0.5357922876006326,0.5357922876006326,0.5350193814398747,0.43795620437956206,10.161453521560622,10.146795135818937,0.0,0.0,0.0,1.0,0.0
semantic_hard_rep3,0.05,0.0001,0.931,jpeg_always,1185557.2554744526,0.0006473967240477132,-0.1416194739328866,0.00015420066284556214,0.00015420066284556214,0.00014889568903340186,1.0,0.00013006597710361276,0.0001255913102010537,0.0,0.0,0.0,0.0,1.0
semantic_hard_rep3,0.05,0.0001,0.931,spectrum_rule,44761.9156511411,2.3371097185318983,2.331738288653762,0.5921350467476313,0.5046620157703515,0.5338895456412213,0.3777372262773723,11.274361439387734,11.92731673510517,0.0,0.09124087591240876,0.06934306569343066,0.8394160583941606,0.0
semantic_hard_rep3,0.05,0.0001,0.931,oracle_policy,45888.94862861008,2.371991905987061,2.366485232151628,0.5806835505509126,0.5400805610748116,0.5338895456412213,0.45255474452554745,11.769294725965702,11.634381732345044,0.0,0.043795620437956206,0.09671532846715329,0.8594890510948905,0.0
spectrogram8_partial,0.05,0.0001,0.899,summary_only,177.0,0.26672158874891894,0.26670034874891896,0.14817866041606603,0.0,0.0,0.012773722627737226,0.0,0.0,1.0,0.0,0.0,0.0,0.0
spectrogram8_partial,0.05,0.0001,0.899,semantic_only,5305.6277372262775,1.6663446668023485,1.665707991473881,0.9257470371124157,0.0,0.0,0.08576642335766424,0.0,0.0,0.0,1.0,0.0,0.0,0.0
spectrogram8_partial,0.05,0.0001,0.899,roi_always,161836.55341163708,0.9648140108408767,0.9453936244314803,0.2318351963589996,0.2318351963589996,0.21533855840366797,0.7572992700729927,1.4325267776144395,1.3305928349570484,0.0,0.0,1.0,0.0,0.0
spectrogram8_partial,0.05,0.0001,0.899,lowres_always,52727.91795620439,2.1424546434717056,2.136127293316961,0.5017003911504335,0.5017003911504335,0.5008301195327215,0.4489051094890511,9.514890983693762,9.498386034296084,0.0,0.0,0.0,1.0,0.0
spectrogram8_partial,0.05,0.0001,0.899,jpeg_always,1185557.2554744526,0.00036212291993724616,-0.14190474773699704,8.570144648219952e-05,8.570144648219952e-05,8.348851795833757e-05,1.0,7.228790181702555e-05,7.04213293561482e-05,0.0,0.0,0.0,0.0,1.0
