scheme,packet_loss,ber,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,precision,recall,f1,mean_iou,tp,fp,fn
soft_rep3,0.01,0.0001,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.01,0.0001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.01,0.0001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.01,0.001,261.9920000000001,500.29008519344086,91605.85056032243,0.44014332500949555,0.5750968992248062,0.4986373858798997,0.5032746643784446,296.75,377.5,219.25
hard_rep3,0.01,0.001,785.9760000000001,166.76336173114697,30535.28352010748,0.4389100857734397,0.6258720930232557,0.5159769947620179,0.5033295712632814,322.95,412.85,193.05
soft,0.01,0.001,326.76000000000005,401.12620883829106,73448.40249724567,0.44077108713160096,0.5276162790697675,0.4802631848072882,0.5026902065943317,272.25,345.45,243.75
soft_rep3,0.01,0.001,980.2799999999997,133.7087362794304,24482.800832415236,0.43902125457457003,0.6257751937984496,0.5160207956318652,0.5033503232981518,322.9,412.6,193.1
spectrogram8,0.01,0.001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.01,0.001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.03,0.0,261.9920000000001,500.29008519344086,91605.85056032243,0.4390414694557522,0.6074612403100775,0.5096922098523444,0.503889925634477,313.45,400.5,202.55
hard_rep3,0.03,0.0,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.03,0.0,326.76000000000005,401.12620883829106,73448.40249724567,0.4390414694557522,0.6074612403100775,0.5096922098523444,0.503889925634477,313.45,400.5,202.55
soft_rep3,0.03,0.0,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.03,0.0,131072.0,1.0,183.10546875,0.4036024922789629,0.011627906976744186,0.022509994662028153,0.4929568193557243,6.0,9.35,510.0
iq12,0.03,0.0,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.03,1e-06,261.9920000000001,500.29008519344086,91605.85056032243,0.43930273075162074,0.6087209302325582,0.5103094500466322,0.5033379025465636,314.1,400.9,201.9
hard_rep3,0.03,1e-06,785.9760000000001,166.76336173114697,30535.28352010748,0.43882052277432704,0.6258720930232557,0.5159151273230617,0.5033093117926084,322.95,413.0,193.05
soft,0.03,1e-06,326.76000000000005,401.12620883829106,73448.40249724567,0.4392633830661217,0.608624031007752,0.510248886117455,0.5033672809444347,314.05,400.9,201.95
soft_rep3,0.03,1e-06,980.2799999999997,133.7087362794304,24482.800832415236,0.43882052277432704,0.6258720930232557,0.5159151273230617,0.5033093117926084,322.95,413.0,193.05
spectrogram8,0.03,1e-06,131072.0,1.0,183.10546875,0.4197942621104386,0.011434108527131783,0.022231115223769457,0.5145847131915036,5.9,8.05,510.1
iq12,0.03,1e-06,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.03,1e-05,261.9920000000001,500.29008519344086,91605.85056032243,0.4383990727893184,0.6070736434108527,0.5091201588776656,0.503257358718225,313.25,401.3,202.75
hard_rep3,0.03,1e-05,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.03,1e-05,326.76000000000005,401.12620883829106,73448.40249724567,0.43859691979181176,0.6068798449612404,0.5091850875529722,0.5032961294248282,313.15,400.85,202.85
soft_rep3,0.03,1e-05,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.03,1e-05,131072.0,1.0,183.10546875,0.4333333333333333,0.004069767441860465,0.008041453018918086,0.45946078566213455,2.1,3.2,513.9
iq12,0.03,1e-05,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.03,0.0001,261.9920000000001,500.29008519344086,91605.85056032243,0.4379385508703155,0.6013565891472867,0.5067898568503132,0.5026647673729082,310.3,398.25,205.7
hard_rep3,0.03,0.0001,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.03,0.0001,326.76000000000005,401.12620883829106,73448.40249724567,0.437699175641095,0.5953488372093022,0.504482822114029,0.5025168399369196,307.2,394.65,208.8
soft_rep3,0.03,0.0001,980.2799999999997,133.7087362794304,24482.800832415236,0.43882052277432715,0.6258720930232557,0.5159151273230617,0.5032971931270953,322.95,413.0,193.05
spectrogram8,0.03,0.0001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.03,0.0001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.03,0.001,261.9920000000001,500.29008519344086,91605.85056032243,0.4398187027754178,0.5650193798449612,0.49459890738549095,0.5017570025131401,291.55,371.3,224.45
hard_rep3,0.03,0.001,785.9760000000001,166.76336173114697,30535.28352010748,0.43893170290862465,0.6257751937984496,0.5159589591457825,0.5032999831402934,322.9,412.75,193.1
soft,0.03,0.001,326.76000000000005,401.12620883829106,73448.40249724567,0.4386967671607974,0.5163759689922481,0.47433997679032336,0.5026085194388542,266.45,340.9,249.55
soft_rep3,0.03,0.001,980.2799999999997,133.7087362794304,24482.800832415236,0.4389532273636857,0.6256782945736434,0.515940859580706,0.5033168514975539,322.85,412.65,193.15
spectrogram8,0.03,0.001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.03,0.001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.05,0.0,261.9920000000001,500.29008519344086,91605.85056032243,0.4406166635873907,0.5963178294573643,0.5067582347614175,0.5040214324952659,307.7,390.7,208.3
hard_rep3,0.05,0.0,785.9760000000001,166.76336173114697,30535.28352010748,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
soft,0.05,0.0,326.76000000000005,401.12620883829106,73448.40249724567,0.4406166635873907,0.5963178294573643,0.5067582347614175,0.5040214324952659,307.7,390.7,208.3
soft_rep3,0.05,0.0,980.2799999999997,133.7087362794304,24482.800832415236,0.43885869565217395,0.625968992248062,0.5159744408945687,0.5032999355911102,323.0,413.0,193.0
spectrogram8,0.05,0.0,131072.0,1.0,183.10546875,0.28125,0.0007751937984496124,0.001543684664522735,0.16891459003090858,0.4,0.6,515.6
iq12,0.05,0.0,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.05,1e-06,261.9920000000001,500.29008519344086,91605.85056032243,0.4404295355539203,0.5960271317829456,0.5065307481945952,0.5033691175235331,307.55,390.8,208.45
hard_rep3,0.05,1e-06,785.9760000000001,166.76336173114697,30535.28352010748,0.43881219289635054,0.6257751937984496,0.5158764052783332,0.5032703294407918,322.9,412.95,193.1
