score_threshold,precision,recall,f1,matched_class_accuracy,mean_matched_iou,tp,fp,fn,mean_pred_boxes_per_frame,mean_truth_boxes_per_frame,mean_pred_semantic_bits_per_frame,mean_jpeg_bits_per_frame,jpeg_to_pred_semantic_ratio
0.03,0.14148622047244094,0.14645950076413652,0.1439299123904881,0.7095652173913043,0.6786191203660527,575,3489,3351,50.8,49.075,3866.6,1128716.9,291.91457611338126
0.05,0.18029556650246306,0.13983698420784513,0.15750968297231385,0.7377049180327869,0.6801806714333932,549,2496,3377,38.0625,49.075,2949.5,1128716.9,382.68075945075435
0.1,0.26620616365568545,0.12761079979623027,0.17252066115702477,0.810379241516966,0.6855699541845616,501,1381,3425,23.525,49.075,1902.8,1128716.9,593.1873554761404
0.15,0.34077380952380953,0.11665817626082527,0.17381404174573056,0.8253275109170306,0.6884102014597513,458,886,3468,16.8,49.075,1418.6,1128716.9,795.6555054278866
0.25,0.46261089987325726,0.09296994396332145,0.1548250265111347,0.8575342465753425,0.7012890631817333,365,424,3561,9.8625,49.075,919.1,1128716.9,1228.067566097269
0.35,0.5826612903225806,0.07361181864493123,0.13071008593396652,0.8788927335640139,0.7184685696132473,289,207,3637,6.2,49.075,655.4,1128716.9,1722.1801953005797
0.5,0.7562724014336918,0.05374426897605705,0.10035671819262781,0.9004739336492891,0.7338149376512478,211,68,3715,3.4875,49.075,460.1,1128716.9,2453.199087154966
