detector,scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
mask_baseline,fixed_ch0,0.2,0.0001,3,0.0,0.0,0.0,0.019120285908381145,0.9808796842892965,0.015334120020270348,0.015334120020270348,0.9808796842892965,0.6933333333333334,0.975,0.4811111111111111,0.3794444444444445,0.0
mask_baseline,iq12_gate,0.2,0.0001,3,96000000.0,0.0013653333333333336,0.25,0.017929623524347942,0.9820703665415446,0.014143458567559719,0.01414345825711886,0.9787592689196268,0.7038888888888888,0.9777777777777777,0.4405555555555556,0.3433333333333333,0.6622222264607748
mask_baseline,iq12_partial,0.2,0.0001,3,120000000.0,0.0010922666666666667,0.20000000000000004,0.007805683960517247,0.9921943147977194,0.004019519779831171,0.004019519469390313,0.9889915386835734,0.8727777777777778,0.9938888888888888,0.79,0.6572222222222223,0.6405555407206217
mask_baseline,oracle,0.2,0.0001,3,0.0,0.0,0.0,0.003786164801567793,0.9962138533592224,0.0,0.0,0.9930777748425802,0.94,1.0,1.0,1.0,0.6272222201029459
mask_baseline,random,0.2,0.0001,3,0.0,0.0,0.0,0.01717342436313629,0.9828265706698099,0.013387259716788927,0.013387259095907211,0.9795015652974447,0.7055555555555556,0.9811111111111112,0.4533333333333333,0.34722222222222227,0.6650000015894572
mask_baseline,semantic_hard,0.2,0.0001,3,1050.1599999999999,124.81226387751649,22853.80808304135,0.007288582467784484,0.9927114248275757,0.003502418131877979,0.003502417588606477,0.9894780317942301,0.8911111111111111,0.9905555555555555,0.8344444444444444,0.7038888888888889,0.6466666658719381
mask_baseline,semantic_hard_rep3,0.2,0.0001,3,3150.48,41.60408795917217,7617.93602768045,0.00499033307035764,0.9950096607208252,0.0012041683269975085,0.0012041683269975085,0.9917763272921244,0.93,0.9961111111111111,0.918888888888889,0.7944444444444444,0.6466666658719381
mask_baseline,semantic_soft,0.2,0.0001,3,1311.911111111111,99.91125325045829,18294.29685982513,0.00683897811298569,0.9931610027949015,0.003052813078587254,0.003052813078587254,0.9899276296297709,0.895,0.9938888888888888,0.8327777777777777,0.7038888888888888,0.6466666658719381
mask_baseline,semantic_soft_rep3,0.2,0.0001,3,3935.7333333333336,33.3037510834861,6098.098953275042,0.004987385279188554,0.995012640953064,0.0012012204388156533,0.0012012203806079924,0.9918015599250793,0.93,0.9961111111111111,0.9211111111111111,0.7799999999999999,0.6422222057978312
mask_baseline,spectrogram8_gate,0.2,0.0001,3,524288.0,0.25,45.7763671875,0.017684164767464,0.9823158582051595,0.013898000741998354,0.013898000431557497,0.9789936343828837,0.706111111111111,0.9755555555555556,0.4572222222222222,0.34833333333333333,0.6644444465637207
mask_baseline,spectrogram8_partial,0.2,0.0001,3,655360.0,0.20000000000000004,36.62109375,0.007631389424204826,0.9923685789108276,0.0038452244674166045,0.003845224855467677,0.9892047047615051,0.875,0.9927777777777779,0.8033333333333333,0.68,0.6327777703603109
