visual_source,spectrum_scheme,packet_loss,clean_rate,policy,frames,mean_bits_per_frame,mean_utility,semantic_score,priority_detail_score,mean_visual_semantic_quality,mean_pred_boxes,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio
gt_annotations,random,0.0,0.6965999999999999,semantic_only,548,5305.6277372262775,1.7366657084865231,0.9894664382073132,0.0,1.0,70.78649635036497,0.0,1.0,0.0,0.0,0.0
gt_annotations,random,0.0,0.6965999999999999,spectrum_rule,548,5278.78102189781,1.6902061963040171,0.9430037044189679,0.0,1.0,70.78649635036497,0.05474452554744526,0.9452554744525548,0.0,0.0,0.0
gt_annotations,random,0.0,0.6965999999999999,dqn,548,50486.56506193602,3.7879443262503507,0.9046983257076285,0.8532451935222309,1.0,70.78649635036497,0.0,0.0,0.10583941605839416,0.8941605839416058,0.0
gt_annotations,random,0.0,0.6965999999999999,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,1.0,70.78649635036497,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
roi_mask_128_class_agnostic,random,0.0,0.6965999999999999,semantic_only,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_class_agnostic,random,0.0,0.6965999999999999,spectrum_rule,548,177.0,0.2633161788926234,0.1499469093445112,0.0,0.23079830162488224,28.26094890510949,1.0,0.0,0.0,0.0,0.0
roi_mask_128_class_agnostic,random,0.0,0.6965999999999999,dqn,548,48296.62839401802,0.8235287160779958,0.21032212693837596,0.18189364590273963,0.23079830162488224,28.26094890510949,0.0,0.0,0.043795620437956206,0.9562043795620438,0.0
roi_mask_128_class_agnostic,random,0.0,0.6965999999999999,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.23079830162488224,28.26094890510949,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
roi_mask_128_priority_proxy,random,0.0,0.6965999999999999,semantic_only,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_priority_proxy,random,0.0,0.6965999999999999,spectrum_rule,548,2226.985401459854,0.3881161530413731,0.22833359296521336,0.0,0.23079830162488224,28.26094890510949,0.0364963503649635,0.9635036496350365,0.0,0.0,0.0
roi_mask_128_priority_proxy,random,0.0,0.6965999999999999,dqn,548,48153.92623631387,0.8237898555556051,0.21038701256236997,0.18195244903912602,0.23079830162488224,28.26094890510949,0.0,0.0,0.07846715328467153,0.9215328467153284,0.0
roi_mask_128_priority_proxy,random,0.0,0.6965999999999999,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.23079830162488224,28.26094890510949,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
gt_annotations,semantic_hard_rep3,0.0,0.923,semantic_only,548,5305.6277372262775,1.7366657084865231,0.9894664382073132,0.0,1.0,70.78649635036497,0.0,1.0,0.0,0.0,0.0
gt_annotations,semantic_hard_rep3,0.0,0.923,spectrum_rule,548,48748.49512608365,3.7467778602550097,0.9080237261855014,0.8533522199877848,1.0,70.78649635036497,0.0,0.05474452554744526,0.07116788321167883,0.8740875912408759,0.0
gt_annotations,semantic_hard_rep3,0.0,0.923,dqn,548,50459.12828253607,3.7879650190317355,0.9047485694181703,0.8532049218470186,1.0,70.78649635036497,0.0,0.0,0.11678832116788321,0.8832116788321168,0.0
gt_annotations,semantic_hard_rep3,0.0,0.923,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,1.0,70.78649635036497,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
roi_mask_128_class_agnostic,semantic_hard_rep3,0.0,0.923,semantic_only,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_class_agnostic,semantic_hard_rep3,0.0,0.923,spectrum_rule,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_class_agnostic,semantic_hard_rep3,0.0,0.923,dqn,548,48373.04568630247,0.8235148668190055,0.21035557667090077,0.18187538347876447,0.23079830162488224,28.26094890510949,0.0,0.0,0.0364963503649635,0.9635036496350365,0.0
roi_mask_128_class_agnostic,semantic_hard_rep3,0.0,0.923,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.23079830162488224,28.26094890510949,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
roi_mask_128_priority_proxy,semantic_hard_rep3,0.0,0.923,semantic_only,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_priority_proxy,semantic_hard_rep3,0.0,0.923,spectrum_rule,548,47318.42496742416,0.8152981692949975,0.2107672370848108,0.17909340715714203,0.23079830162488224,28.26094890510949,0.0,0.0364963503649635,0.04744525547445255,0.916058394160584,0.0
roi_mask_128_priority_proxy,semantic_hard_rep3,0.0,0.923,dqn,548,48194.559993085655,0.8237360204174997,0.2104039881855291,0.18191771250578523,0.23079830162488224,28.26094890510949,0.0,0.0,0.09854014598540146,0.9014598540145985,0.0
roi_mask_128_priority_proxy,semantic_hard_rep3,0.0,0.923,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.23079830162488224,28.26094890510949,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
gt_annotations,spectrogram8_partial,0.0,0.9038,semantic_only,548,5305.6277372262775,1.7366657084865231,0.9894664382073132,0.0,1.0,70.78649635036497,0.0,1.0,0.0,0.0,0.0
gt_annotations,spectrogram8_partial,0.0,0.9038,spectrum_rule,548,48748.49512608365,3.7467778602550097,0.9080237261855014,0.8533522199877848,1.0,70.78649635036497,0.0,0.05474452554744526,0.07116788321167883,0.8740875912408759,0.0
gt_annotations,spectrogram8_partial,0.0,0.9038,dqn,548,50454.419913922924,3.7879972541576183,0.9047575063131682,0.8532138587420165,1.0,70.78649635036497,0.0,0.0,0.11496350364963503,0.885036496350365,0.0
gt_annotations,spectrogram8_partial,0.0,0.9038,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,1.0,70.78649635036497,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
roi_mask_128_class_agnostic,spectrogram8_partial,0.0,0.9038,semantic_only,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_class_agnostic,spectrogram8_partial,0.0,0.9038,spectrum_rule,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_class_agnostic,spectrogram8_partial,0.0,0.9038,dqn,548,48373.04568630247,0.8235148668190055,0.21035557667090077,0.18187538347876447,0.23079830162488224,28.26094890510949,0.0,0.0,0.0364963503649635,0.9635036496350365,0.0
roi_mask_128_class_agnostic,spectrogram8_partial,0.0,0.9038,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.23079830162488224,28.26094890510949,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
roi_mask_128_priority_proxy,spectrogram8_partial,0.0,0.9038,semantic_only,548,2243.788321167883,0.3884095135794715,0.22974714044518263,0.0,0.23079830162488224,28.26094890510949,0.0,1.0,0.0,0.0,0.0
roi_mask_128_priority_proxy,spectrogram8_partial,0.0,0.9038,spectrum_rule,548,47318.42496742416,0.8152981692949975,0.2107672370848108,0.17909340715714203,0.23079830162488224,28.26094890510949,0.0,0.0364963503649635,0.04744525547445255,0.916058394160584,0.0
roi_mask_128_priority_proxy,spectrogram8_partial,0.0,0.9038,dqn,548,48177.62175774122,0.8237755421597728,0.21041401034867876,0.18192773466893486,0.23079830162488224,28.26094890510949,0.0,0.0,0.09671532846715329,0.9032846715328468,0.0
roi_mask_128_priority_proxy,spectrogram8_partial,0.0,0.9038,oracle_policy,548,50341.60389833398,3.7887260839230463,0.9049672496351531,0.8533522199877848,0.23079830162488224,28.26094890510949,0.0,0.0,0.10218978102189781,0.8978102189781022,0.0
gt_annotations,random,0.05,0.6956,semantic_only,548,5305.6277372262775,1.5441649395206125,0.8820087800561636,0.0,1.0,70.78649635036497,0.0,1.0,0.0,0.0,0.0
