uavs_per_step,scheme,packet_loss,ber,trials,decision_steps,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,mean_net_utility,oracle_gap,mean_regret_occupancy,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
1,fixed_ch0,0.2,0.0001,5,1000,0.0,0.0,0.0,0.005083851981908083,0.9949161648750305,0.9949161648750305,0.004989762697368861,0.0049897625111043455,0.9138,0.9942,0.7498,0.3604,0.0
1,iq12_gate,0.2,0.0001,5,1000,24000000.0,0.005461333333333334,1.0,0.004758770950138569,0.9952412366867065,0.9918742060661316,0.004664681665599346,0.004664681665599346,0.9174,0.9954000000000001,0.7342000000000001,0.333,0.6734000086784363
1,oracle,0.2,0.0001,5,1000,0.0,0.0,0.0,9.4089445337886e-05,0.9999059081077576,0.9966528534889221,0.0,0.0,0.9992000000000001,1.0,1.0,1.0,0.650600004196167
1,random,0.2,0.0001,5,1000,0.0,0.0,0.0,0.004872506391257048,0.9951274991035461,0.9918114423751831,0.004778417013585568,0.004778417013585568,0.9142000000000001,0.9955999999999999,0.7256,0.32680000000000003,0.6631999969482422
1,semantic_hard,0.2,0.0001,5,1000,262.2224,499.9375745198207,91541.30392818984,0.0012590231373906136,0.9987409949302674,0.9954309225082397,0.0011649336898699402,0.001164933678228408,0.9800000000000001,0.9982,0.9425999999999999,0.5144,0.6620000004768372
1,semantic_hard_rep3,0.2,0.0001,5,1000,786.6672000000001,166.64585817327358,30513.767976063282,0.00023023417306831107,0.9997697710990906,0.9964787244796753,0.00013614469735330205,0.00013614472518383992,0.9974000000000001,0.9996,0.9966000000000002,0.5652,0.6582000017166137
1,semantic_soft,0.2,0.0001,5,1000,327.272,400.71867554267504,73373.78092212067,0.0013339153723791243,0.9986660838127136,0.9953410387039184,0.0012398258317261935,0.001239825994707644,0.977,0.9987999999999999,0.9380000000000001,0.5022,0.6650000095367432
1,semantic_soft_rep3,0.2,0.0001,5,1000,981.816,133.57289184755837,24457.926974040227,0.00029693627438973633,0.999703049659729,0.9964230060577393,0.0002028467682976043,0.00020284681231714786,0.9968,0.9994,0.9955999999999999,0.5584,0.6559999942779541
1,spectrogram8_gate,0.2,0.0001,5,1000,131072.0,1.0,183.10546875,0.004810149222612381,0.9951898574829101,0.9918447852134704,0.004716059844940901,0.004716060031205416,0.9154000000000002,0.9954000000000001,0.7362,0.33399999999999996,0.668999993801117
2,fixed_ch0,0.2,0.0001,5,1000,0.0,0.0,0.0,0.010207303799688816,0.9897927165031433,0.9897927165031433,0.009284540638327598,0.009284540638327598,0.8392,0.986,0.6066,0.368,0.0
