scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
fixed_ch0,0.0,1e-05,5,0.0,0.0,0.0,0.0200296513736248,0.9799703478813171,0.01614133082330227,0.016141331195831297,0.9799703478813171,0.6908000000000001,0.9712,0.47540000000000004,0.38180000000000003,0.0
iq12_gate,0.0,1e-05,5,96000000.0,0.0013653333333333334,0.25,0.01952689401805401,0.9804731011390686,0.015638573840260506,0.015638573840260506,0.9771310925483704,0.6894,0.9720000000000001,0.4312,0.3236,0.6684000134468079
iq12_partial,0.0,1e-05,5,120000000.0,0.0010922666666666667,0.2,0.005128765851259232,0.9948712587356567,0.0012404456268996001,0.0012404455803334713,0.9915712118148804,0.9269999999999999,0.9964000000000001,0.9144,0.7698,0.6600000023841858
oracle,0.0,1e-05,5,0.0,0.0,0.0,0.0038883202709257604,0.9961116790771485,0.0,0.0,0.9929006695747375,0.9421999999999999,0.9996,1.0,1.0,0.6421999931335449
random,0.0,1e-05,5,0.0,0.0,0.0,0.01851978972554207,0.9814801931381225,0.01463147010654211,0.014631469547748566,0.9780921936035156,0.702,0.9730000000000001,0.44279999999999997,0.3358,0.6776000022888183
semantic_hard,0.0,1e-05,5,1045.7072,125.34330422434087,22951.044474671788,0.005033885128796101,0.9949661254882812,0.001145564974285662,0.0011455649393610657,0.991658067703247,0.9282000000000001,0.9966000000000002,0.9183999999999999,0.7766,0.6615999937057495
semantic_hard_rep3,0.0,1e-05,5,3137.1216,41.78110140811363,7650.34815822393,0.005068124551326036,0.9949318766593933,0.0011798044433817267,0.0011798044200986625,0.9916018366813659,0.9288000000000001,0.9964000000000001,0.9186,0.7807999999999999,0.6659999847412109
semantic_soft,0.0,1e-05,5,1302.016,100.66946910657641,18433.130329573316,0.00503736175596714,0.9949626088142395,0.0011490414617583156,0.0011490414617583156,0.9916846275329589,0.9278000000000001,0.9966000000000002,0.9168,0.779,0.6555999994277955
semantic_soft_rep3,0.0,1e-05,5,3906.048,33.55648970219213,6144.376776524439,0.005075739976018667,0.994924259185791,0.0011874196934513748,0.001187419588677585,0.9916282534599304,0.9282,0.9964000000000001,0.9180000000000001,0.784,0.6592000007629395
spectrogram8_gate,0.0,1e-05,5,524288.0,0.25,45.7763671875,0.014055581018328666,0.985944414138794,0.010167260840535163,0.01016726102679968,0.9825973868370056,0.7736000000000001,0.9798,0.5841999999999999,0.47400000000000003,0.6694000005722046
spectrogram8_partial,0.0,1e-05,5,655360.0,0.2,36.62109375,0.005087726190686226,0.9949122786521911,0.0011994060245342554,0.0011994060012511909,0.991587245464325,0.9268000000000001,0.9966000000000002,0.915,0.774,0.6649999976158142
spectrogram8_rep3_partial,0.0,1e-05,5,1966080.0,0.06666666666666667,12.20703125,0.005077536124736071,0.9949224710464477,0.001189216086640954,0.0011892160400748253,0.9916254639625549,0.9280000000000002,0.9964000000000001,0.9178000000000001,0.7742000000000001,0.6593999981880188
fixed_ch0,0.0,0.0001,5,0.0,0.0,0.0,0.020055221021175386,0.9799447894096375,0.015913091972470282,0.015913091786205768,0.9799447894096375,0.6824,0.9725999999999999,0.45779999999999993,0.369,0.0
iq12_gate,0.0,0.0001,5,96000000.0,0.0013653333333333334,0.25,0.018663861975073814,0.9813361167907715,0.014521734043955802,0.014521734230220318,0.9779571175575257,0.6862,0.9804,0.4431999999999999,0.33799999999999997,0.6758000135421753
