policy,samples,mean_bits_per_frame,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio,spectrum_scheme,packet_loss,ber,clean_rate
dqn,84,17396.463117786658,1.7343694713486617,0.713410124518897,0.19037282191862986,0.17898847171942955,10.943191189477307,0.0,0.6071428571428571,0.05952380952380952,0.3333333333333333,0.0,oracle,0.1,0.0001,0.9426
oracle_policy,84,16833.095498739036,1.7365524890676192,0.7199363687255885,0.18668246714185852,0.17516143713611113,11.090204244123896,0.0,0.6190476190476191,0.05952380952380952,0.32142857142857145,0.0,oracle,0.1,0.0001,0.9426
summary_only,87,177.0,0.2592165734769892,0.14402100748721616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,oracle,0.2,0.0001,0.944
semantic_only,87,5551.896551724138,1.4158720037810082,0.786965684092897,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,0.2,0.0001,0.944
spectrum_rule,87,5672.097123493616,1.4227070787985385,0.7833097914639822,0.0069205054135597355,0.007167666321186869,1.2200964234013658,0.0,0.9885057471264368,0.011494252873563218,0.0,0.0,oracle,0.2,0.0001,0.944
dqn,87,5879.323526919355,1.4226955568142536,0.7776728857636849,0.011855429733978271,0.01227883793876321,2.0164615333203604,0.0,0.9770114942528736,0.022988505747126436,0.0,0.0,oracle,0.2,0.0001,0.944
oracle_policy,87,5672.097123493616,1.4227070787985385,0.7833097914639822,0.0069205054135597355,0.007167666321186869,1.2200964234013658,0.0,0.9885057471264368,0.011494252873563218,0.0,0.0,oracle,0.2,0.0001,0.944
summary_only,95,177.0,0.26988319682012035,0.14994690934451113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.0,0.0001,0.6965999999999999
semantic_only,95,5239.147368421052,1.7806439086458044,0.9895958924055639,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.0,0.0001,0.6965999999999999
spectrum_rule,95,5200.831578947368,1.6519898082210096,0.9181188377836017,0.0,0.0,0.0,0.08421052631578947,0.9157894736842105,0.0,0.0,0.0,random,0.0,0.0001,0.6965999999999999
dqn,95,52084.322382969774,3.838085454149154,0.9018947824331071,0.9018947824331071,0.8986091726256913,17.316050995183982,0.0,0.0,0.18947368421052632,0.8105263157894737,0.0,random,0.0,0.0001,0.6965999999999999
oracle_policy,95,51860.09667238342,3.8398812118092827,0.902295882336703,0.902295882336703,0.8990471552790432,17.398654075729755,0.0,0.0,0.16842105263157894,0.8315789473684211,0.0,random,0.0,0.0001,0.6965999999999999
summary_only,81,177.0,0.26436715984482734,0.1468824443582374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.05,0.0001,0.6956
semantic_only,81,5222.333333333333,1.5889955028518215,0.8831234349176784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.05,0.0001,0.6956
