scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
fixed_ch0,0.0,0.0,3,0.0,0.0,0.0,0.021318575367331505,0.9786813855171204,0.0174078984806935,0.017407897238930065,0.9786813855171204,0.6733333333333333,0.9700000000000001,0.45222222222222225,0.3666666666666667,0.0
iq12_gate,0.0,0.0,3,96000000.0,0.0013653333333333336,0.25,0.005386537717034419,0.9946134487787882,0.0014758595304253201,0.001475859588632981,0.9913801352183024,0.9327777777777779,0.9944444444444445,0.9283333333333333,0.813888888888889,0.6466666460037231
iq12_partial,0.0,0.0,3,120000000.0,0.0010922666666666667,0.20000000000000004,0.005363785661756992,0.9946361978848776,0.001453107378135125,0.0014531074557453394,0.9913890361785889,0.9338888888888889,0.9944444444444445,0.9305555555555555,0.8066666666666666,0.6494444211324056
oracle,0.0,0.0,3,0.0,0.0,0.0,0.0039106780507912236,0.9960893193880717,0.0,0.0,0.9928837418556213,0.9477777777777777,0.9994444444444444,1.0,1.0,0.6411110957463583
random,0.0,0.0,3,0.0,0.0,0.0,0.019945938140153885,0.9800540407498678,0.016035260632634163,0.01603526094307502,0.9767623941103617,0.6816666666666666,0.9711111111111111,0.4094444444444445,0.31888888888888883,0.6583333214124044
semantic_hard,0.0,0.0,3,1046.36,125.26507464000936,22936.72020996265,0.0053631095215678215,0.9946368932723999,0.0014524312185434003,0.0014524313155561686,0.9914368589719137,0.9338888888888889,0.9944444444444445,0.93,0.8155555555555555,0.6399999856948853
semantic_hard_rep3,0.0,0.0,3,3139.08,41.75502488000311,7645.573403320884,0.005390525485078494,0.9946094353993734,0.0014798471238464117,0.0014798472402617335,0.991439938545227,0.9322222222222223,0.9944444444444445,0.9288888888888889,0.8133333333333334,0.6338888804117838
semantic_soft,0.0,0.0,3,1303.4666666666665,100.55735290211612,18412.601239401145,0.005382556623468797,0.9946174621582031,0.0014718781846264999,0.0014718783398469288,0.991381307442983,0.9327777777777779,0.9944444444444445,0.9283333333333333,0.8077777777777778,0.6472222010294596
semantic_soft_rep3,0.0,0.0,3,3910.3999999999996,33.51911763403871,6137.533746467049,0.0053796181455254555,0.9946204026540121,0.0014689398230984807,0.0014689399783189099,0.9914064606030782,0.9327777777777779,0.9944444444444445,0.9294444444444444,0.8144444444444444,0.6427777608235677
spectrogram8_gate,0.0,0.0,3,524288.0,0.25,45.7763671875,0.005385819977770249,0.9946141242980957,0.001475141888173918,0.0014751419269790251,0.9913613796234131,0.9327777777777779,0.9944444444444445,0.9288888888888889,0.8105555555555556,0.6505555510520935
