seed,method,epoch,dual,rate_temperature,mean_discrete_regret,cvar_0_9_regret,clean_resource_rate,brier,mean_application_bits,mean_nominal_transmitted_bits,budget_violation
20260716,detection_only,1,0.0,2.0,0.023846177384257317,0.11661507189273834,0.4933333396911621,0.007761852815747261,215.0,574.0,0.12109375
20260716,detection_only,2,0.0,1.9740138000035972,0.023744873702526093,0.11661507189273834,0.4933333396911621,0.008050348609685898,215.0,574.0,0.12109375
20260716,detection_only,3,0.0,1.9483652413023211,0.02292834036052227,0.11721716076135635,0.5133333206176758,0.008593302220106125,215.0,574.0,0.12109375
20260716,detection_only,4,0.0,1.9230499368890603,0.020967574790120125,0.10942045599222183,0.5133333206176758,0.009621371515095234,215.0,574.0,0.12109375
20260716,detection_only,5,0.0,1.898063556757526,0.021090218797326088,0.11334416270256042,0.5199999809265137,0.010976137593388557,215.0,574.0,0.12109375
20260716,detection_only,6,0.0,1.8734018271616335,0.021068038418889046,0.11334416270256042,0.5400000214576721,0.01191801019012928,215.0,574.0,0.12109375
20260716,detection_only,7,0.0,1.8490605298845093,0.021886790171265602,0.11601025611162186,0.5266666412353516,0.011524447239935398,215.0,574.0,0.12109375
20260716,detection_only,8,0.0,1.8250355015169928,0.020889542996883392,0.11334416270256042,0.5400000214576721,0.010617831721901894,215.0,574.0,0.12109375
20260716,detection_only,9,0.0,1.8013226327455147,0.02124548889696598,0.11334416270256042,0.5333333611488342,0.010008906945586205,215.0,574.0,0.12109375
20260716,detection_only,10,0.0,1.777917867649229,0.021168703213334084,0.11334416270256042,0.5333333611488342,0.009893154725432396,215.0,574.0,0.12109375
20260716,detection_only,11,0.0,1.7548172030062736,0.021202797070145607,0.11334416270256042,0.5333333611488342,0.00992857851088047,215.0,574.0,0.12109375
20260716,detection_only,12,0.0,1.732016687609049,0.021214652806520462,0.11334416270256042,0.5333333611488342,0.009924214333295822,215.0,574.0,0.12109375
20260716,detection_only,13,0.0,1.7095124215883912,0.021281836554408073,0.11334416270256042,0.5333333611488342,0.009656949900090694,215.0,574.0,0.12109375
20260716,detection_only,14,0.0,1.687300555746526,0.0217893123626709,0.11334416270256042,0.5199999809265137,0.009492424316704273,215.0,574.0,0.12109375
20260716,detection_only,15,0.0,1.6653772908986906,0.021845202893018723,0.11601025611162186,0.5133333206176758,0.009202149696648121,213.8800048828125,572.0399780273438,0.11726558208465576
20260716,detection_only,16,0.0,1.6437388772233101,0.02089489996433258,0.11326701194047928,0.5266666412353516,0.009154364466667175,213.13333129882812,570.7333374023438,0.11471354961395264
20260716,detection_only,17,0.0,1.6223816136206164,0.02090015448629856,0.11334416270256042,0.5333333611488342,0.00885623786598444,212.3866729736328,569.4266967773438,0.11216151714324951
20260716,detection_only,18,0.0,1.6013018470796005,0.02248554490506649,0.1179572120308876,0.5133333206176758,0.008796212263405323,211.63999938964844,568.1199951171875,0.10960936546325684
20260716,detection_only,19,0.0,1.5804959720531906,0.022124862298369408,0.1179572120308876,0.5199999809265137,0.008821634575724602,210.14666748046875,565.5066528320312,0.10450518131256104
20260716,detection_only,20,0.0,1.559960429841549,0.022211911156773567,0.12043868005275726,0.5333333611488342,0.008695501834154129,207.16000366210938,560.280029296875,0.09429693222045898
20260716,detection_only,21,0.0,1.5396917079833807,0.0229573305696249,0.1217687577009201,0.5199999809265137,0.008900262415409088,207.16000366210938,560.280029296875,0.09429693222045898
20260716,detection_only,22,0.0,1.5196863396551512,0.02329172194004059,0.1217687577009201,0.5133333206176758,0.00873382855206728,206.0399932861328,558.3200073242188,0.09046876430511475
20260716,detection_only,23,0.0,1.4999409030781112,0.022647138684988022,0.12079283595085144,0.5199999809265137,0.008943647146224976,206.0399932861328,558.3200073242188,0.09046876430511475
20260716,detection_only,24,0.0,1.4804520209330247,0.023121727630496025,0.1217687577009201,0.5199999809265137,0.008873213082551956,205.2933349609375,557.0133056640625,0.08791661262512207
20260716,detection_only,25,0.0,1.4612163597825027,0.02256278693675995,0.11978504806756973,0.5266666412353516,0.009264709427952766,205.6666717529297,557.6666870117188,0.08919274806976318
20260716,detection_only,26,0.0,1.442230629500841,0.024290570989251137,0.12238793820142746,0.5066666603088379,0.009241513907909393,204.9199981689453,556.3599853515625,0.08664059638977051
20260716,detection_only,27,0.0,1.4234915827112675,0.023015659302473068,0.12389339506626129,0.5333333611488342,0.009662105701863766,205.2933349609375,557.0133056640625,0.08791661262512207
20260716,detection_only,28,0.0,1.404996014230502,0.023059584200382233,0.12389339506626129,0.5333333611488342,0.008972115814685822,201.93333435058594,551.1333618164062,0.07643234729766846
20260716,detection_only,29,0.0,1.3867407605205309,0.02366303838789463,0.12389339506626129,0.5266666412353516,0.009204668924212456,201.18666076660156,549.82666015625,0.07388019561767578
20260716,detection_only,30,0.0,1.3687226991475059,0.02337782271206379,0.12142253667116165,0.5266666412353516,0.009875270538032055,203.05332946777344,553.0933227539062,0.08026039600372314
20260716,detection_only,31,0.0,1.350938748247674,0.023638630285859108,0.12142253667116165,0.5199999809265137,0.00969341117888689,201.18666076660156,549.82666015625,0.07388019561767578
20260716,detection_only,32,0.0,1.333385866000247,0.023590223863720894,0.12514320015907288,0.5266666412353516,0.009677953086793423,198.57333374023438,545.2533569335938,0.06494796276092529
20260716,detection_only,33,0.0,1.3160610501071175,0.02459876611828804,0.12936285138130188,0.5333333611488342,0.009649029932916164,195.9600067138672,540.6799926757812,0.056015610694885254
20260716,detection_only,34,0.0,1.2989613372793378,0.02450602874159813,0.13086776435375214,0.5266666412353516,0.009982106275856495,197.45333862304688,543.2933349609375,0.061119794845581055
20260716,detection_only,35,0.0,1.2820838027302701,0.025873970240354538,0.13086776435375214,0.5266666412353516,0.009372273460030556,191.85333251953125,533.4933471679688,0.041979193687438965
20260716,detection_only,36,0.0,1.2654255596753214,0.025559447705745697,0.1327618509531021,0.5333333611488342,0.00942728016525507,190.73333740234375,531.5333251953125,0.03815102577209473
20260716,detection_only,37,0.0,1.24898375883818,0.023204248398542404,0.12389339506626129,0.5333333611488342,0.010975811630487442,198.94667053222656,545.9066772460938,0.06622397899627686
20260716,detection_only,38,0.0,1.2327555879634662,0.02520887739956379,0.1327618509531021,0.5266666412353516,0.009447257965803146,183.26666259765625,518.4666748046875,0.012630224227905273
20260716,detection_only,39,0.0,1.2167382713357153,0.026496773585677147,0.1360190510749817,0.5133333206176758,0.009437100030481815,185.5066680908203,522.3866577148438,0.0202864408493042
20260716,detection_only,40,0.0,1.2009290693046117,0.02429344691336155,0.12936285138130188,0.5400000214576721,0.010973041877150536,194.0933380126953,537.413330078125,0.04963541030883789
20260716,detection_only,41,0.0,1.18532527781639,0.025261571630835533,0.1336051970720291,0.5133333206176758,0.009220574051141739,176.54666137695312,506.7066650390625,0.0
20260716,detection_only,42,0.0,1.1699242279513258,0.025312896817922592,0.1327618509531021,0.4933333396911621,0.009136322885751724,167.9600067138672,491.67999267578125,0.0
20260716,detection_only,43,0.0,1.1547232854672358,0.025083405897021294,0.1327618509531021,0.5400000214576721,0.010330463759601116,188.1199951171875,526.9600219726562,0.02921879291534424
20260716,detection_only,44,0.0,1.1397198503489083,0.023871837183833122,0.13144251704216003,0.5333333611488342,0.009383775293827057,179.16000366210938,511.2799987792969,0.0
20260716,detection_only,45,0.0,1.12491135636339,0.0270443856716156,0.14067289233207703,0.47999998927116394,0.008949358947575092,160.4933319091797,478.61334228515625,0.0
20260716,detection_only,46,0.0,1.110295270621048,0.024539437144994736,0.1327618509531021,0.5266666412353516,0.009443352930247784,176.17333984375,506.0533447265625,0.0
20260716,detection_only,47,0.0,1.0958690931423387,0.024012118577957153,0.1327618509531021,0.5266666412353516,0.009392322041094303,173.55999755859375,501.4800109863281,0.0
20260716,detection_only,48,0.0,1.0816303564302021,0.02789219841361046,0.14527514576911926,0.47999998927116394,0.009102817624807358,159.0,476.0,0.0
20260716,detection_only,49,0.0,1.0675766250480143,0.02789219841361046,0.14527514576911926,0.47999998927116394,0.009102817624807358,159.0,476.0,0.0
20260716,detection_only,50,0.0,1.0537054952030231,0.02339528128504753,0.12741443514823914,0.5400000214576721,0.00920638907700777,177.6666717529297,508.6666564941406,0.0
20260716,detection_only,51,0.0,1.040014594335196,0.02789219841361046,0.14527514576911926,0.47999998927116394,0.009102817624807358,159.0,476.0,0.0
20260716,detection_only,52,0.0,1.02650158071141,0.02789219841361046,0.14527514576911926,0.47999998927116394,0.009102817624807358,159.0,476.0,0.0
20260716,detection_only,53,0.0,1.0131641430249148,0.026633433997631073,0.14067289233207703,0.5,0.009106600657105446,160.4933319091797,478.61334228515625,0.0
20260716,detection_only,54,0.0,1.0,0.02789219841361046,0.14527514576911926,0.47999998927116394,0.009102817624807358,159.0,476.0,0.0
20260716,detection_only,55,0.0,0.9870069000017987,0.02789219841361046,0.14527514576911926,0.47999998927116394,0.009102817624807358,159.0,476.0,0.0
20260716,detection_only,56,0.0,0.9741826206511606,0.027846775949001312,0.14527514576911926,0.4866666793823242,0.008364517241716385,159.74667358398438,477.3066711425781,0.0
20260716,detection_only,57,0.0,0.9615249684445302,0.02676396630704403,0.14004959166049957,0.4933333396911621,0.008283314295113087,160.1199951171875,477.9599914550781,0.0
20260716,detection_only,58,0.0,0.949031778378763,0.02789219841361046,0.14527514576911926,0.47999998927116394,0.009102817624807358,159.0,476.0,0.0
20260716,detection_only,59,0.0,0.9367009135808169,0.026620524004101753,0.14004959166049957,0.5,0.008969361893832684,160.1199951171875,477.9599914550781,0.0
20260716,detection_only,60,0.0,0.9245302649422548,0.027846775949001312,0.14527514576911926,0.4866666793823242,0.008332247845828533,159.74667358398438,477.3066711425781,0.0
