seed,method,split,best_epoch,mean_discrete_regret,cvar_0_9_regret,clean_resource_rate,brier,mean_application_bits,mean_nominal_transmitted_bits,budget_violation,precision_counts
20260716,detection_only,train,50,0.024610597640275955,0.13612452149391174,0.49666666984558105,0.013036401942372322,180.27999877929688,513.239990234375,0.002421855926513672,"{""1"": 186, ""2"": 0, ""4"": 0, ""8"": 114}"
20260716,detection_only,calibration,50,0.021351389586925507,0.11138325929641724,0.5199999809265137,0.011893430724740028,176.9199981689453,507.3599853515625,0.0,"{""1"": 34, ""2"": 0, ""4"": 0, ""8"": 16}"
20260716,detection_only,validation,50,0.02339528128504753,0.12741443514823914,0.5400000214576721,0.00920638907700777,177.6666717529297,508.6666564941406,0.0,"{""1"": 100, ""2"": 0, ""4"": 0, ""8"": 50}"
20260716,detection_plus_rate,train,69,0.023635679855942726,0.12183082848787308,0.4699999988079071,0.013569246977567673,160.67999267578125,478.94000244140625,0.0,"{""1"": 291, ""2"": 0, ""4"": 0, ""8"": 9}"
20260716,detection_plus_rate,calibration,69,0.02749917469918728,0.15737485885620117,0.47999998927116394,0.014881346374750137,160.1199951171875,477.9599914550781,0.0,"{""1"": 49, ""2"": 0, ""4"": 0, ""8"": 1}"
20260716,detection_plus_rate,validation,69,0.025343293324112892,0.13624855875968933,0.5,0.010076029226183891,160.86666870117188,479.26666259765625,0.0,"{""1"": 145, ""2"": 0, ""4"": 0, ""8"": 5}"
20260716,detection_plus_resource,train,86,0.024069078266620636,0.13218627870082855,0.49666666984558105,0.01183775719255209,179.34666442871094,511.6066589355469,0.0,"{""1"": 191, ""2"": 0, ""4"": 0, ""8"": 109}"
20260716,detection_plus_resource,calibration,86,0.022067692130804062,0.11138325929641724,0.5199999809265137,0.011629229411482811,176.9199981689453,507.3599853515625,0.0,"{""1"": 34, ""2"": 0, ""4"": 0, ""8"": 16}"
20260716,detection_plus_resource,validation,86,0.022099461406469345,0.12508194148540497,0.54666668176651,0.009370927698910236,178.0399932861328,509.32000732421875,0.0,"{""1"": 99, ""2"": 0, ""4"": 0, ""8"": 51}"
20260716,full_joint_loss,train,154,0.02356075868010521,0.12630170583724976,0.4833333194255829,0.01595330983400345,167.98666381835938,491.7266540527344,0.0,"{""1"": 245, ""2"": 0, ""4"": 12, ""8"": 43}"
